Date,"Roy Phillipps","Macrotarsomys petteri","The Last of Us","Sweet Track","OK Computer","Upper Pine Bottom State Park","1954 Guatemalan coup d'état","Auriscalpium vulgare","Melbourne Castle"
2016-06-30,9,6,4723,84,1122,11,335,11,8
2016-07-01,8,5,4631,90,1167,7,329,8,10
2016-07-02,6,8,4407,97,1002,10,248,13,18
2016-07-03,11,8,5008,66,1085,15,291,8,38
2016-07-04,8,8,5084,93,1153,20,319,18,16
2016-07-05,5,10,4926,93,1081,16,488,5,16
2016-07-06,10,12,4654,99,1206,12,349,12,20
2016-07-07,6,10,4218,68,1005,12,313,6,12
2016-07-08,2,5,4114,89,1082,10,286,10,17
2016-07-09,8,9,4186,76,1048,15,278,19,27
2016-07-10,5,7,4327,76,957,9,317,12,11
2016-07-11,6,6,4665,91,1067,14,292,13,12
2016-07-12,10,14,4881,77,1133,16,343,20,18
2016-07-13,3,5,4188,67,1074,4,330,7,17
2016-07-14,6,7,4503,59,1082,10,297,13,13
2016-07-15,9,7,4241,61,1051,15,345,9,15
2016-07-16,3,3,4984,49,896,6,458,4,13
2016-07-17,9,10,5181,67,972,12,496,11,13
2016-07-18,7,7,4885,108,1138,11,397,13,17
2016-07-19,6,8,4491,98,1064,18,401,7,11
2016-07-20,5,4,4059,99,1162,5,348,5,10
2016-07-21,7,8,4111,73,1016,11,360,12,18
2016-07-22,11,10,4156,70,1099,9,327,7,12
2016-07-23,7,7,4320,72,992,9,298,9,13
2016-07-24,7,12,4701,93,1002,11,343,10,18
2016-07-25,13,12,4550,98,1045,15,415,15,16
2016-07-26,14,14,4254,92,1154,17,498,15,19
2016-07-27,4,4,4277,87,1590,8,598,12,8
2016-07-28,8,11,4191,93,1443,16,499,11,14
2016-07-29,13,11,3871,107,1344,12,608,15,16
2016-07-30,8,9,4028,69,1263,9,352,15,15
2016-07-31,6,11,4271,112,1186,12,388,14,16
2016-08-01,6,9,4534,73,1471,23,388,9,16
2016-08-02,7,10,4096,98,1380,7,336,10,11
2016-08-03,9,12,3713,98,1284,14,375,15,15
2016-08-04,6,6,3708,86,1318,6,333,6,9
2016-08-05,17,10,3521,99,1278,14,359,12,17
2016-08-06,11,10,4012,115,1132,13,1807,7,16
