Date,"E.T. the Extra-Terrestrial","Myriostoma","Ernest Joyce","Bazy Tankersley","Susan B. Anthony dollar","Ben Affleck","Presque Isle State Park","Freak Out!","Beograd-class destroyer"
2016-02-02,2677,13,14,35,480,11232,104,415,9
2016-02-03,2597,11,20,20,475,9788,103,409,2
2016-02-04,2465,8,9,14,498,10091,111,354,3
2016-02-05,2267,12,19,32,455,10408,80,389,1
2016-02-06,2794,15,15,22,469,12635,91,383,4
2016-02-07,2852,14,14,28,461,13446,132,335,2
2016-02-08,2788,11,12,23,445,13971,138,371,6
2016-02-09,2875,14,12,31,422,11990,127,344,6
2016-02-10,2529,19,31,27,447,10483,105,387,5
2016-02-11,2688,13,20,43,444,11690,645,370,7
2016-02-12,2341,14,23,25,459,13204,578,393,5
2016-02-13,2981,9,13,17,441,14937,1140,373,8
2016-02-14,2747,12,14,21,409,16805,249,387,1
2016-02-15,2930,17,27,38,516,17834,133,369,7
2016-02-16,2481,4,16,22,553,13396,100,388,4
2016-02-17,2353,14,12,19,514,13299,125,425,2
2016-02-18,2550,7,16,38,494,12408,97,385,14
2016-02-19,2305,11,26,24,567,12190,89,399,12
2016-02-20,2327,8,11,22,460,14830,97,394,7
2016-02-21,2925,35,23,15,549,16351,167,393,4
2016-02-22,4174,8,16,23,675,13551,134,361,1
2016-02-23,2743,14,15,27,594,16593,108,393,1
2016-02-24,2266,10,19,29,481,14957,80,384,2
2016-02-25,2386,10,16,24,529,13076,67,351,4
2016-02-26,2336,13,14,32,440,17356,92,341,1
2016-02-27,3083,12,10,22,429,28206,97,369,4
2016-02-28,3049,17,13,26,442,22161,115,384,9
2016-02-29,3117,12,15,31,479,46010,100,395,9
2016-03-01,2298,6,11,18,452,40173,92,382,9
2016-03-02,2563,10,16,14,454,28371,88,346,7
2016-03-03,2334,13,12,29,474,21150,86,341,4
2016-03-04,2307,12,16,26,466,17487,78,327,7
2016-03-05,2263,16,16,21,452,20825,107,332,10
2016-03-06,4704,13,8,16,410,18415,131,384,1
2016-03-07,3114,12,14,31,487,14999,101,359,5
2016-03-08,2286,14,13,35,592,14356,103,411,4
2016-03-09,2202,13,17,18,518,12918,138,431,6
2016-03-10,2056,13,18,31,454,13159,104,436,5
2016-03-11,1899,8,12,17,662,15021,111,444,11
2016-03-12,2192,21,14,25,428,15340,121,449,5
2016-03-13,2476,20,14,35,418,17532,97,401,3
2016-03-14,2292,21,15,17,479,17508,142,424,7
2016-03-15,2076,14,24,26,429,19147,100,529,9
2016-03-16,1955,16,14,27,411,22104,114,500,6
2016-03-17,2104,20,21,23,419,20664,95,411,7
2016-03-18,2070,20,14,28,472,19445,88,426,5
2016-03-19,2018,11,12,21,431,23346,128,363,4
2016-03-20,2225,13,14,23,457,27208,131,346,7
2016-03-21,2573,15,20,28,463,26364,144,376,12
2016-03-22,2604,9,9,17,483,24777,133,389,8
2016-03-23,3423,12,16,16,394,28557,131,413,3
2016-03-24,2066,4,12,15,391,38059,109,395,6
2016-03-25,2446,5,11,13,366,101506,115,373,5
2016-03-26,3014,15,16,20,377,98811,124,330,5
2016-03-27,3361,13,22,19,429,80604,138,381,3
2016-03-28,2586,15,18,31,409,74951,149,386,10
2016-03-29,2015,11,12,22,417,52015,148,368,3
2016-03-30,2115,13,16,35,415,44792,145,355,7
2016-03-31,2287,13,13,25,437,42412,134,354,4
2016-04-01,2642,11,21,16,389,42070,130,331,6
2016-04-02,7167,21,16,24,361,41253,105,391,9
2016-04-03,9647,13,16,28,384,38949,140,374,3
2016-04-04,5981,11,12,17,376,29415,104,560,1
2016-04-05,5259,12,10,22,423,24205,116,425,12
2016-04-06,5521,10,23,27,440,21300,119,420,5
2016-04-07,5543,8,19,22,387,21003,93,439,4
