Date,"Weird Tales","Grace Sherwood","Dredd","Battle of Prokhorovka","Blade Runner","Noye's Fludde","God of War III","Project Y","Dire wolf"
2016-03-23,212,43,2864,264,5229,66,990,0,1701
2016-03-24,191,40,1912,252,5069,50,869,0,1579
2016-03-25,166,60,2017,217,5437,62,918,0,1629
2016-03-26,170,58,1886,193,5765,55,977,0,1640
2016-03-27,178,57,1910,272,6226,59,915,0,1841
2016-03-28,171,65,2061,372,5978,76,986,0,1954
2016-03-29,200,38,1531,333,5076,78,898,0,1905
2016-03-30,202,51,1583,285,4906,54,902,0,1938
2016-03-31,224,37,1533,341,5697,70,886,0,1813
2016-04-01,165,47,1392,249,7094,66,860,0,1802
2016-04-02,166,43,2200,184,7211,45,948,0,1903
2016-04-03,196,42,1956,228,8592,64,1016,0,2153
2016-04-04,229,39,1618,295,7900,80,1003,0,1998
2016-04-05,185,57,1408,243,6873,116,1932,0,2023
2016-04-06,212,53,1538,263,5715,112,1459,0,1886
2016-04-07,158,41,5089,257,5532,83,1136,0,21513
2016-04-08,170,48,4578,250,5173,76,1113,0,13958
2016-04-09,187,54,2303,205,5956,65,1199,0,1932
2016-04-10,155,58,2258,205,6496,88,1356,0,1931
2016-04-11,224,58,1860,263,6075,74,995,0,2048
2016-04-12,177,44,1682,214,5264,60,938,0,2073
2016-04-13,149,66,1553,246,4820,62,925,0,1885
2016-04-14,149,41,1554,279,4779,67,995,0,1800
2016-04-15,439,40,1516,242,4409,56,873,0,1817
2016-04-16,144,56,3225,211,5172,54,904,0,1752
2016-04-17,168,60,1819,217,5778,62,1010,0,1917
2016-04-18,225,45,1578,258,5821,73,1202,0,1957
2016-04-19,168,71,1978,262,4905,61,1018,0,2032
2016-04-20,184,41,1349,261,5349,71,879,0,1787
2016-04-21,173,54,1332,273,8232,73,916,0,2058
2016-04-22,153,37,1525,246,7403,64,956,0,2339
2016-04-23,145,44,2816,231,6697,52,964,0,2553
2016-04-24,161,61,2122,207,6999,85,1057,0,3675
2016-04-25,184,45,2676,281,6198,91,922,0,7876
2016-04-26,207,59,2162,256,5915,81,899,0,4636
2016-04-27,208,42,1716,259,6090,78,900,0,3769
2016-04-28,209,27,1455,246,5631,63,883,0,3377
2016-04-29,170,35,1550,228,5260,78,829,0,2976
2016-04-30,135,58,1668,201,5638,52,816,0,2727
2016-05-01,154,47,2519,236,6877,75,910,0,3080
2016-05-02,206,47,3415,301,6192,61,935,0,6858
