Date,"Noel Park","Margaret Lea Houston","Everglades National Park","Fez (video game)","Crucifix (Cimabue, Santa Croce)","Me and Juliet","King Kalākaua's world tour","Villa Park","Sino-Roman relations"
2016-06-07,31,15,416,964,20,34,0,164,372
2016-06-08,21,23,421,530,28,28,0,219,287
2016-06-09,16,22,396,438,33,26,0,167,400
2016-06-10,10,15,333,466,28,48,0,181,311
2016-06-11,15,24,338,479,16,24,0,221,265
2016-06-12,21,35,459,510,21,38,0,233,277
2016-06-13,18,36,404,537,34,42,0,246,291
2016-06-14,21,32,385,452,28,32,0,230,301
2016-06-15,24,59,626,463,18,31,0,246,308
2016-06-16,23,22,830,436,26,38,0,258,284
2016-06-17,19,26,502,419,24,28,0,219,267
2016-06-18,20,31,440,480,28,36,0,229,310
2016-06-19,23,21,479,486,35,45,0,204,264
2016-06-20,19,26,412,500,31,30,0,183,284
2016-06-21,25,26,438,517,26,37,0,215,316
2016-06-22,12,34,369,474,27,22,0,262,239
2016-06-23,28,35,363,529,26,36,0,178,281
2016-06-24,10,48,324,477,13,29,0,159,223
2016-06-25,24,40,293,517,17,33,0,204,237
2016-06-26,11,38,337,550,27,37,0,209,329
2016-06-27,17,36,346,451,14,39,0,202,252
2016-06-28,11,33,341,545,21,35,0,192,254
2016-06-29,23,25,392,557,14,39,0,180,227
2016-06-30,25,32,334,532,34,29,0,171,245
2016-07-01,17,26,352,535,23,21,0,168,367
2016-07-02,14,46,311,488,21,22,0,176,437
2016-07-03,21,40,352,595,27,22,0,198,422
2016-07-04,23,37,397,578,31,35,0,174,429
2016-07-05,20,26,386,571,36,55,0,182,646
2016-07-06,17,25,376,510,23,47,0,185,563
2016-07-07,9,29,332,473,29,28,0,179,399
2016-07-08,13,34,330,401,21,32,0,210,401
2016-07-09,17,24,267,426,19,29,0,162,397
2016-07-10,9,63,318,465,25,28,0,219,405
2016-07-11,14,49,332,490,16,24,0,202,443
2016-07-12,30,72,367,461,22,30,0,206,379
2016-07-13,43,38,314,454,28,29,0,174,341
2016-07-14,40,32,290,416,28,22,0,183,316
2016-07-15,31,37,266,420,18,29,0,156,359
2016-07-16,22,30,226,449,19,30,0,136,637
2016-07-17,29,44,299,494,22,41,0,143,626
2016-07-18,31,42,327,507,27,35,0,194,516
2016-07-19,32,136,278,485,20,29,0,137,484
2016-07-20,20,118,282,445,20,28,0,192,503
2016-07-21,16,99,284,460,24,24,0,166,428
2016-07-22,32,101,259,438,26,25,0,114,523
2016-07-23,27,144,218,413,35,42,0,140,416
2016-07-24,19,118,314,487,20,33,0,179,487
2016-07-25,20,111,335,480,24,28,0,178,397
2016-07-26,110,132,313,499,45,43,0,178,367
2016-07-27,48,145,295,531,27,27,0,182,369
2016-07-28,20,134,252,455,27,28,0,188,830
2016-07-29,25,106,279,421,24,31,0,230,590
2016-07-30,21,109,269,432,21,43,0,266,564
2016-07-31,25,148,303,591,24,38,0,239,572
2016-08-01,15,123,316,635,34,30,0,174,514
2016-08-02,22,122,288,445,28,28,0,214,482
2016-08-03,18,111,288,478,25,36,0,251,373
2016-08-04,29,122,339,537,24,22,0,203,395
2016-08-05,26,170,264,483,30,34,0,234,380
2016-08-06,18,150,293,416,15,43,0,248,360
2016-08-07,20,157,291,448,17,29,0,321,433
2016-08-08,17,137,298,433,26,35,0,261,348
2016-08-09,26,105,295,449,17,47,0,236,326
2016-08-10,22,102,255,474,16,35,0,265,317
2016-08-11,24,103,219,440,19,29,0,224,301
2016-08-12,22,98,239,439,17,32,0,219,398
2016-08-13,17,105,233,430,19,36,0,384,362
2016-08-14,28,117,266,421,21,28,0,403,380
2016-08-15,13,103,300,483,26,48,0,344,369
2016-08-16,15,103,250,577,17,39,0,412,336
2016-08-17,12,106,291,625,44,23,0,328,386
2016-08-18,18,92,283,640,35,43,0,220,331
2016-08-19,17,105,233,902,23,24,0,223,300
2016-08-20,24,68,241,996,19,34,0,275,445
2016-08-21,21,43,293,1123,19,44,0,305,397
2016-08-22,28,35,376,1246,39,43,0,231,367
2016-08-23,34,66,372,890,28,44,0,267,455
2016-08-24,17,46,348,1073,36,50,0,229,365
2016-08-25,21,40,609,813,22,42,0,229,374
2016-08-26,19,32,532,794,24,47,0,212,1799
2016-08-27,37,35,297,929,32,30,0,262,1194
2016-08-28,28,30,334,1088,18,42,0,219,420
2016-08-29,26,40,345,983,36,41,0,211,423
2016-08-30,58,39,361,810,43,37,0,208,421
2016-08-31,16,23,383,814,35,44,0,216,388
2016-09-01,23,34,373,895,23,53,0,224,352
2016-09-02,32,30,362,835,28,53,0,211,437
2016-09-03,16,29,270,866,20,36,0,185,583
2016-09-04,17,32,282,843,24,43,0,174,459
2016-09-05,24,93,328,831,35,46,0,190,372
2016-09-06,28,54,368,815,32,44,0,196,382
2016-09-07,10,29,407,701,43,75,0,212,343
2016-09-08,16,33,384,656,35,36,0,193,349
2016-09-09,17,25,357,695,25,35,0,202,411
2016-09-10,27,34,236,759,26,40,0,265,292
2016-09-11,13,36,295,908,25,29,0,623,326
2016-09-12,17,39,401,762,32,52,0,278,404
2016-09-13,22,33,427,716,46,48,0,220,347
2016-09-14,21,35,324,658,44,46,0,372,488
2016-09-15,18,42,380,614,47,46,0,247,461
2016-09-16,22,34,329,589,35,33,0,177,441
2016-09-17,20,39,233,586,31,40,0,241,497
2016-09-18,29,40,368,703,53,59,0,469,609
