Date,"Hope (painting)","Impala","Muhammad ibn Tughj al-Ikhshid","Lockheed C-130 Hercules in Australian service","Jochen Rindt","In Our Time (short story collection)","She Shoulda Said No!","Ferugliotheriidae","New wave of British heavy metal"
2016-02-28,52,724,19,31,159,116,36,20,1
2016-02-29,53,714,28,21,169,139,50,12,4
2016-03-01,48,685,38,31,171,130,34,5,2
2016-03-02,53,642,15,23,133,115,41,4,2
2016-03-03,49,705,21,21,165,133,41,7,2
2016-03-04,47,729,15,18,186,106,32,8,1
2016-03-05,171,636,17,17,166,77,50,10,3
2016-03-06,163,730,32,33,166,113,32,13,2
2016-03-07,86,795,21,30,205,149,52,9,2
2016-03-08,61,643,10,35,183,135,37,10,4
2016-03-09,71,731,14,31,197,155,34,15,0
2016-03-10,67,796,18,29,175,129,32,8,2
2016-03-11,62,701,11,20,186,87,40,7,1
2016-03-12,52,636,19,29,164,93,32,16,1
2016-03-13,53,718,9,14,174,94,34,9,0
2016-03-14,77,686,6,25,192,129,43,13,2
2016-03-15,77,718,12,27,210,160,35,8,0
2016-03-16,41,702,12,23,199,242,32,11,1
2016-03-17,44,671,10,29,163,117,33,15,0
2016-03-18,63,601,13,20,182,106,24,18,0
2016-03-19,26,658,14,21,446,80,46,11,1
2016-03-20,44,681,2,42,538,123,43,5,1
2016-03-21,59,724,9,26,299,159,36,7,2
2016-03-22,62,611,16,22,224,169,44,7,2
2016-03-23,61,647,19,33,224,106,38,8,1
2016-03-24,60,636,22,19,220,89,33,8,3
2016-03-25,60,596,13,17,225,83,37,4,1
2016-03-26,56,677,27,22,194,68,46,13,1
2016-03-27,78,666,29,16,190,90,49,11,2
2016-03-28,58,681,22,27,1773,130,50,12,3
2016-03-29,55,735,12,22,302,99,53,10,2
2016-03-30,50,725,26,32,242,139,27,10,3
2016-03-31,47,622,23,31,213,128,45,13,0
2016-04-01,45,631,11,22,222,102,50,10,7
2016-04-02,51,613,17,36,296,82,44,13,2
2016-04-03,54,616,20,25,371,86,31,9,1
2016-04-04,57,695,11,31,244,123,35,10,1
2016-04-05,39,720,19,36,251,120,42,10,0
2016-04-06,77,696,19,43,2290,127,42,11,2
2016-04-07,48,674,5,24,424,102,44,7,4
2016-04-08,56,617,9,20,300,80,34,8,3
2016-04-09,42,586,16,30,264,89,37,14,2
2016-04-10,48,738,21,27,219,90,65,15,2
2016-04-11,54,728,11,31,216,162,49,7,2
2016-04-12,44,690,16,32,274,116,35,17,1
2016-04-13,54,686,7,16,207,130,45,8,4
2016-04-14,50,656,18,41,219,120,51,17,1
2016-04-15,41,649,8,34,237,95,38,13,1
2016-04-16,42,545,12,16,240,85,38,11,4
2016-04-17,47,622,13,32,347,115,48,11,0
2016-04-18,42,767,9,15,662,118,39,7,1
2016-04-19,64,674,17,26,324,133,47,8,1
2016-04-20,39,753,19,23,244,110,66,6,1
2016-04-21,43,658,10,27,199,129,53,9,0
2016-04-22,38,643,17,29,211,96,48,14,1
2016-04-23,37,609,11,24,211,57,35,7,1
2016-04-24,37,685,17,32,185,98,38,17,3
2016-04-25,35,649,10,45,221,133,37,6,5
2016-04-26,43,655,16,25,217,148,34,12,1
2016-04-27,37,784,11,30,257,109,50,13,0
2016-04-28,52,747,12,26,247,125,39,6,2
2016-04-29,46,683,10,39,240,92,26,10,1
2016-04-30,43,570,15,34,355,64,32,8,1
2016-05-01,43,630,6,32,373,84,35,7,0
2016-05-02,49,730,9,34,332,115,37,16,82
2016-05-03,46,719,12,30,242,126,31,12,209
2016-05-04,54,641,14,23,207,103,49,14,177
2016-05-05,58,643,15,30,347,105,48,9,154
2016-05-06,38,629,10,25,262,99,42,10,173
2016-05-07,37,681,12,31,197,80,44,7,211
2016-05-08,49,622,8,27,201,95,37,8,331
2016-05-09,55,746,17,29,246,116,39,8,445
2016-05-10,56,886,13,24,216,120,39,10,503
2016-05-11,53,724,18,17,168,122,29,14,432
2016-05-12,39,635,9,15,206,129,46,10,445
2016-05-13,47,682,12,25,208,82,43,9,485
2016-05-14,45,613,14,14,326,84,44,9,393
2016-05-15,37,592,5,33,724,83,44,8,470
2016-05-16,50,758,8,20,400,135,39,4,448
2016-05-17,51,801,19,33,324,115,46,7,623
2016-05-18,61,932,12,37,296,104,31,15,560
2016-05-19,68,811,19,32,228,124,54,13,484
2016-05-20,59,723,14,33,207,94,38,11,518
2016-05-21,86,700,15,32,268,69,47,10,515
2016-05-22,106,942,6,16,228,89,43,7,551
2016-05-23,74,828,16,28,265,105,56,11,530
2016-05-24,89,693,12,36,235,102,36,8,529
2016-05-25,47,783,12,28,286,98,40,10,547
2016-05-26,83,715,15,33,998,104,41,17,541
2016-05-27,32,734,14,22,281,88,43,9,548
2016-05-28,35,696,9,11,267,66,34,7,448
2016-05-29,40,678,16,23,515,86,33,6,563
2016-05-30,57,708,14,33,374,87,38,12,502
2016-05-31,50,708,8,28,303,85,41,11,530
2016-06-01,36,810,10,28,245,104,39,7,561
2016-06-02,39,669,15,40,223,127,40,14,649
2016-06-03,45,646,15,29,246,100,35,13,547
2016-06-04,54,678,19,29,286,100,28,17,507
2016-06-05,51,722,11,29,695,107,42,17,446
2016-06-06,42,751,8,21,377,105,34,14,482
2016-06-07,41,665,12,23,296,107,40,12,524
2016-06-08,40,630,9,20,491,80,48,11,460
2016-06-09,39,670,6,21,302,75,39,12,503
2016-06-10,75,646,12,17,245,75,42,11,467
2016-06-11,54,659,19,24,236,71,34,8,450
2016-06-12,44,650,14,19,334,87,31,7,416
2016-06-13,58,713,23,24,841,100,49,14,462
2016-06-14,47,666,17,29,492,128,39,15,439
2016-06-15,47,630,17,43,306,127,41,13,470
2016-06-16,101,668,15,28,266,78,51,13,390
2016-06-17,138,652,13,27,233,81,34,13,392
2016-06-18,49,578,18,30,294,81,47,18,371
2016-06-19,35,679,18,23,348,74,49,13,367
2016-06-20,55,710,10,31,325,103,39,7,400
2016-06-21,53,668,28,43,282,91,49,14,431
2016-06-22,39,582,9,26,457,79,35,4,399
2016-06-23,40,665,11,30,359,65,30,7,374
2016-06-24,49,551,12,40,250,85,32,7,346
2016-06-25,40,862,20,18,245,61,29,13,352
2016-06-26,73,780,20,34,276,58,36,3,379
2016-06-27,45,666,12,29,225,77,42,14,359
2016-06-28,48,591,10,35,343,89,39,8,385
2016-06-29,37,638,11,49,718,82,35,11,378
2016-06-30,31,668,10,29,309,81,35,7,388
2016-07-01,63,702,5,31,327,87,45,5,412
2016-07-02,36,985,15,32,376,71,32,6,420
2016-07-03,31,1514,11,25,441,64,44,11,412
2016-07-04,39,1090,11,29,252,124,52,17,349
2016-07-05,47,816,19,34,484,90,44,3,408
2016-07-06,33,750,8,23,510,92,28,10,387
2016-07-07,55,635,11,28,289,71,32,9,396
2016-07-08,42,616,9,24,240,87,28,3,394
2016-07-09,35,661,17,25,283,74,37,14,394
2016-07-10,61,900,11,34,375,52,43,6,415
2016-07-11,30,865,17,27,301,100,32,7,393
2016-07-12,44,777,21,48,251,87,41,15,396
2016-07-13,43,746,18,29,209,86,28,7,396
2016-07-14,35,711,19,19,219,63,29,8,366
2016-07-15,33,654,14,209,189,59,31,13,394
2016-07-16,45,772,6,27,167,82,27,5,372
2016-07-17,48,861,17,25,202,82,115,14,386
2016-07-18,45,798,11,31,203,86,51,10,430
2016-07-19,49,733,42,22,214,72,44,11,374
2016-07-20,47,737,15,18,178,93,41,7,366
2016-07-21,42,658,9,30,163,90,38,8,426
2016-07-22,50,683,12,27,159,91,29,11,348
2016-07-23,46,631,26,17,213,64,40,8,325
2016-07-24,49,682,44,25,447,71,42,9,426
2016-07-25,49,775,20,22,272,106,47,17,401
2016-07-26,61,760,17,35,366,76,52,13,387
2016-07-27,55,743,10,29,226,88,34,9,385
2016-07-28,225,699,7,26,260,80,35,8,396
2016-07-29,85,674,15,25,230,55,42,13,395
2016-07-30,59,674,14,35,293,71,36,13,407
2016-07-31,79,746,8,22,521,62,42,13,394
2016-08-01,72,764,9,33,456,89,30,11,427
2016-08-02,60,731,17,41,311,111,43,9,412
2016-08-03,55,731,14,31,353,83,51,14,388
2016-08-04,35,672,7,19,263,93,35,7,456
2016-08-05,49,649,16,41,223,168,33,14,439
2016-08-06,32,640,10,16,205,92,40,12,380
2016-08-07,36,593,12,20,189,51,35,10,389
2016-08-08,55,564,15,24,179,87,36,7,642
2016-08-09,34,669,13,26,191,78,40,14,391
2016-08-10,41,604,17,31,183,76,40,7,396
2016-08-11,39,598,12,27,216,94,36,6,378
2016-08-12,51,534,5,30,185,66,36,9,373
2016-08-13,30,552,8,30,118,80,31,4,301
2016-08-14,45,638,13,23,172,68,43,14,412
2016-08-15,36,621,7,29,158,92,39,9,387
2016-08-16,31,638,12,33,154,77,34,4,424
2016-08-17,33,560,17,35,115,86,32,7,403
2016-08-18,41,560,19,40,144,112,38,10,389
2016-08-19,32,589,28,35,150,88,33,6,505
2016-08-20,34,600,48,32,172,94,36,9,401
2016-08-21,56,612,34,36,188,85,34,20,417
2016-08-22,48,647,15,23,184,88,38,11,434
2016-08-23,43,596,13,33,210,119,66,12,443
2016-08-24,44,617,31,24,175,103,55,10,476
2016-08-25,60,618,20,25,172,127,36,7,489
2016-08-26,79,664,15,31,137,99,33,11,446
2016-08-27,43,652,14,25,166,83,53,10,446
2016-08-28,65,642,11,24,569,85,46,9,417
2016-08-29,49,631,19,25,321,120,44,13,436
2016-08-30,40,600,14,23,262,123,43,14,392
2016-08-31,28,583,15,16,278,103,44,9,397
2016-09-01,33,606,15,21,244,89,36,11,411
2016-09-02,47,555,22,29,869,70,43,14,376
2016-09-03,35,594,18,25,537,65,31,9,362
2016-09-04,48,589,10,18,1091,76,43,4,397
2016-09-05,43,773,14,25,1517,104,38,15,450
2016-09-06,34,632,14,21,7362,129,39,14,413
2016-09-07,64,664,9,28,680,105,33,5,413
2016-09-08,41,644,17,28,393,121,38,5,425
2016-09-09,51,649,17,30,282,111,32,13,412
2016-09-10,64,596,18,23,268,106,34,13,370
2016-09-11,59,672,6,25,254,74,30,4,385
2016-09-12,46,701,13,34,230,112,38,12,409
2016-09-13,53,648,11,59,434,136,49,13,388
2016-09-14,49,703,16,38,431,127,463,12,396
2016-09-15,46,612,10,50,294,122,38,6,471
2016-09-16,44,652,18,39,222,91,43,15,395
2016-09-17,65,568,11,32,272,91,28,14,364
2016-09-18,69,589,13,31,326,101,38,16,456
2016-09-19,56,608,11,32,323,124,27,16,423
2016-09-20,36,585,10,32,240,119,37,5,390
2016-09-21,54,611,10,26,169,105,38,9,416
2016-09-22,61,1163,74,30,204,351,93,153,842
2016-09-23,45,1032,152,276,189,98,42,12,887
2016-09-24,57,738,13,27,164,94,36,10,360
2016-09-25,76,643,9,12,185,96,35,4,382
2016-09-26,222,720,17,35,182,124,49,14,432
2016-09-27,123,588,6,29,214,103,45,9,419
2016-09-28,308,646,13,31,229,150,32,12,458
2016-09-29,80,625,16,33,211,114,38,18,445
2016-09-30,141,609,8,19,214,100,43,5,441
2016-10-01,157,568,10,13,196,84,34,10,429
2016-10-02,93,602,16,23,253,89,57,7,445
2016-10-03,77,641,15,27,218,105,39,9,403
2016-10-04,154,608,12,31,252,100,47,9,444
2016-10-05,106,581,8,15,217,124,41,6,401
2016-10-06,60,601,10,22,165,111,32,5,408
2016-10-07,54,539,12,31,195,124,54,13,768
2016-10-08,56,559,14,30,193,61,35,16,421
2016-10-09,252,589,15,20,288,100,32,9,388
2016-10-10,65,583,18,27,254,112,36,14,354
2016-10-11,46,623,21,20,349,116,32,7,410
2016-10-12,56,573,14,26,297,123,39,12,428
2016-10-13,56,584,15,37,262,104,43,10,538
2016-10-14,87,651,13,23,158,100,44,10,432
2016-10-15,38,618,14,26,179,67,54,8,374
2016-10-16,90,669,20,24,147,87,42,7,383
2016-10-17,979,594,14,25,170,152,43,8,433
2016-10-18,101,642,17,33,187,120,42,11,410
2016-10-19,78,656,14,17,171,117,50,8,419
2016-10-20,67,632,15,33,157,135,56,7,395
2016-10-21,68,602,20,26,194,109,45,6,456
2016-10-22,85,581,15,15,301,74,38,5,402
2016-10-23,148,560,6,26,302,91,29,7,435
2016-10-24,147,649,15,28,232,125,44,6,457
2016-10-25,147,701,15,28,254,113,38,12,386
2016-10-26,252,633,12,26,182,95,39,10,431
2016-10-27,164,672,5,27,258,86,29,11,416
2016-10-28,166,605,24,26,243,93,39,15,427
2016-10-29,163,573,18,14,254,76,25,5,356
2016-10-30,159,648,11,19,464,69,36,9,384
2016-10-31,137,695,13,32,415,108,37,7,437
2016-11-01,139,591,22,27,238,97,42,14,434
2016-11-02,188,609,10,23,378,105,31,8,447
2016-11-03,143,595,16,22,233,102,24,10,412
2016-11-04,151,535,19,28,220,79,29,10,480
2016-11-05,149,543,5,13,177,67,33,5,420
2016-11-06,468,626,11,35,197,97,37,4,468
2016-11-07,213,715,20,14,162,105,36,12,449
2016-11-08,204,695,35,26,176,121,44,20,483
2016-11-09,216,537,12,24,166,90,20,13,343
2016-11-10,184,561,9,20,216,104,35,11,408
2016-11-11,162,550,18,14,433,79,33,7,426
2016-11-12,163,607,16,18,319,60,21,14,371
2016-11-13,185,629,8,26,705,89,33,14,362
2016-11-14,206,670,19,30,411,96,41,11,411
2016-11-15,212,636,16,30,306,128,36,10,426
2016-11-16,160,619,11,22,286,121,28,14,438
2016-11-17,184,792,12,28,244,127,29,5,539
2016-11-18,185,665,19,21,214,94,35,8,522
2016-11-19,157,537,15,29,207,87,39,14,430
2016-11-20,176,612,11,48,203,95,28,6,448
2016-11-21,224,699,11,22,219,113,39,9,479
2016-11-22,180,632,14,23,210,122,35,8,554
2016-11-23,188,638,11,14,246,78,28,9,470
2016-11-24,172,593,15,24,374,67,30,9,459
2016-11-25,153,581,7,17,605,74,41,13,443
2016-11-26,139,748,13,24,378,77,44,13,459
2016-11-27,144,629,13,25,1227,115,39,8,439
2016-11-28,98,676,22,23,876,127,34,10,527
2016-11-29,102,690,19,19,444,154,43,10,464
2016-11-30,86,632,9,19,431,145,18,5,407
2016-12-01,70,635,8,25,343,98,36,8,498
2016-12-02,103,623,13,17,937,116,42,16,412
2016-12-03,72,593,15,23,689,84,25,9,437
2016-12-04,101,1031,15,458,455,117,53,18,425
