Date,"The Demi-Virgin","The Oceanides","Jupiter trojan","Sandra Morgan","Virgin and Child Enthroned","Carnaby's black cockatoo","1880 Greenback National Convention","1997 Qayen earthquake","Alexander of Greece"
2016-06-15,1,18,116,20,0,50,20,14,201
2016-06-16,3,108,142,14,0,39,13,21,178
2016-06-17,0,168,163,9,0,28,10,10,183
2016-06-18,1,28,123,15,0,32,20,21,213
2016-06-19,1,22,137,13,0,40,16,21,197
2016-06-20,0,21,112,11,0,66,9,11,202
2016-06-21,0,19,132,16,0,34,10,16,172
2016-06-22,3,17,154,11,0,34,5,14,177
2016-06-23,2,9,105,10,0,32,7,9,188
2016-06-24,3,13,99,8,0,33,6,11,230
2016-06-25,1,18,115,11,0,26,11,18,203
2016-06-26,3,16,109,8,0,28,4,17,159
2016-06-27,2,24,119,17,0,29,10,14,203
2016-06-28,3,19,147,11,0,27,4,10,185
2016-06-29,4,29,110,10,0,23,7,13,222
2016-06-30,1,24,149,11,0,30,10,9,161
2016-07-01,1,19,188,9,0,24,4,14,201
2016-07-02,1,15,119,10,0,26,7,11,187
2016-07-03,0,18,135,12,0,27,6,14,204
2016-07-04,8,15,170,8,0,24,11,21,228
2016-07-05,3,17,408,15,0,29,15,11,169
2016-07-06,2,47,266,14,0,32,19,12,180
2016-07-07,3,23,220,12,0,32,4,10,443
2016-07-08,2,16,133,9,0,27,6,11,780
2016-07-09,1,25,120,14,0,17,7,17,224
2016-07-10,5,18,112,15,0,28,8,16,206
2016-07-11,3,34,175,15,0,30,10,15,187
2016-07-12,2,29,247,16,0,30,17,22,204
2016-07-13,4,11,706,8,0,35,7,14,180
2016-07-14,3,18,591,11,0,24,8,13,173
2016-07-15,2,17,236,13,0,27,8,9,173
2016-07-16,2,10,169,11,0,26,7,11,227
2016-07-17,0,13,151,20,0,29,14,13,219
2016-07-18,1,17,164,13,0,29,7,11,337
2016-07-19,2,31,148,22,0,33,13,12,237
2016-07-20,3,11,128,17,0,33,6,6,187
2016-07-21,1,15,117,14,0,20,4,11,185
2016-07-22,0,19,122,18,0,26,6,12,167
2016-07-23,4,16,106,8,0,29,6,10,143
2016-07-24,0,15,136,13,0,32,14,10,226
2016-07-25,8,28,139,17,0,41,31,17,177
2016-07-26,1,19,159,20,0,25,13,18,199
2016-07-27,3,16,110,20,0,29,8,10,186
2016-07-28,1,21,152,20,0,39,10,11,154
2016-07-29,0,26,112,25,0,27,19,31,285
2016-07-30,2,17,101,22,0,30,16,19,170
2016-07-31,4,24,95,11,0,28,16,9,205
2016-08-01,1,20,120,26,0,44,8,9,508
2016-08-02,1,14,149,20,0,24,10,16,291
