Date,"Egyptian temple","Planet Stories","The Blue Flame (play)","INS Vikrant (R11)","Literary Hall","Downtown Seattle Transit Tunnel","Catherine Zeta-Jones","St Botolph's Church, Quarrington","Spotted green pigeon"
2016-03-12,199,22,0,1887,6,59,6566,2,45
2016-03-13,254,23,1,1556,16,88,6543,2,28
2016-03-14,304,25,5,1554,9,74,5689,1,68
2016-03-15,259,35,5,1060,2,102,5863,1,70
2016-03-16,219,33,4,1264,8,77,4636,3,64
2016-03-17,273,20,0,1383,12,83,5206,2,36
2016-03-18,229,22,5,1370,8,90,10257,2,42
2016-03-19,138,28,1,1086,5,143,6770,0,15
2016-03-20,180,26,1,1271,10,140,6521,1,33
2016-03-21,232,31,4,872,11,152,5415,0,28
2016-03-22,228,29,5,1013,6,93,6319,1,18
2016-03-23,219,27,3,1317,3,120,4818,0,32
2016-03-24,170,29,0,963,4,99,6058,4,23
2016-03-25,163,24,3,780,6,140,6679,1,15
2016-03-26,161,23,0,800,8,115,7023,0,11
2016-03-27,184,33,6,612,10,95,6893,2,21
2016-03-28,272,35,0,713,22,127,5640,2,16
2016-03-29,280,19,2,612,5,184,7109,1,17
2016-03-30,218,28,3,644,7,90,4391,2,12
2016-03-31,273,31,2,519,10,95,4682,0,61
2016-04-01,220,8,1,551,12,98,5218,5,46
2016-04-02,131,18,3,566,9,73,7476,2,55
2016-04-03,202,30,0,459,7,88,10082,1,15
2016-04-04,212,22,4,504,11,94,6443,6,11
2016-04-05,220,26,3,524,6,70,5039,0,17
2016-04-06,257,30,4,590,9,87,4414,3,16
2016-04-07,178,19,2,718,10,193,4751,0,12
2016-04-08,193,22,1,600,6,124,5465,0,34
2016-04-09,166,29,3,506,4,159,8601,3,120
2016-04-10,189,27,3,514,8,108,8855,0,120
2016-04-11,212,25,3,513,8,83,5992,1,124
2016-04-12,209,20,0,522,4,73,5804,2,117
2016-04-13,227,22,21,487,14,106,5286,4,107
2016-04-14,219,30,7,525,5,104,4962,1,91
2016-04-15,192,76,4,494,6,79,4885,0,88
2016-04-16,132,26,3,510,3,251,6206,3,82
2016-04-17,187,25,0,498,8,104,6680,0,81
2016-04-18,231,22,3,426,11,57,4944,2,93
2016-04-19,226,30,6,489,3,123,4667,2,92
2016-04-20,185,27,3,485,12,79,4318,3,77
2016-04-21,234,23,2,423,7,102,35555,1,92
2016-04-22,173,21,1,651,10,79,4805,3,95
2016-04-23,161,19,2,597,59,78,5442,0,72
2016-04-24,193,37,1,481,94,85,6989,0,90
2016-04-25,232,11,1,498,76,81,5323,0,240
2016-04-26,225,19,7,488,68,82,4548,1,107
2016-04-27,382,25,2,411,217,66,6155,1,112
2016-04-28,204,19,4,445,100,76,5255,2,109
2016-04-29,175,15,1,782,67,65,5064,2,95
2016-04-30,145,24,2,768,71,82,9662,0,92
2016-05-01,207,19,0,623,56,67,8137,1,69
2016-05-02,269,18,1,592,108,105,6488,0,97
2016-05-03,313,28,10,837,94,72,5052,2,103
2016-05-04,242,36,2,1335,94,83,4580,2,90
2016-05-05,264,27,2,1751,108,91,6387,0,92
2016-05-06,247,22,0,1098,89,79,5894,1,88
2016-05-07,175,25,1,777,84,56,6522,0,30
2016-05-08,163,28,4,1244,69,80,6200,1,50
2016-05-09,240,17,2,889,85,90,6040,1,26
2016-05-10,261,25,2,1355,95,79,5360,2,34
2016-05-11,222,36,4,1496,95,69,5070,1,31
2016-05-12,180,28,5,1337,81,93,6190,5,22
2016-05-13,183,25,0,1077,87,83,6616,2,15
2016-05-14,124,30,0,1407,82,53,6579,2,16
2016-05-15,175,23,1,2056,102,54,7723,2,23
2016-05-16,233,20,2,1778,98,65,6110,4,13
2016-05-17,196,26,0,1411,66,70,6118,2,24
2016-05-18,237,16,3,1344,11,81,12102,1,31
2016-05-19,238,27,2,1681,16,69,5476,1,30
2016-05-20,228,22,8,1470,11,77,5712,2,17
2016-05-21,154,25,1,1633,22,60,6571,6,29
2016-05-22,178,23,3,1495,14,66,8253,0,17
2016-05-23,239,29,5,1305,13,89,5577,0,22
2016-05-24,249,25,5,1210,11,60,5078,1,21
2016-05-25,233,20,3,1041,17,75,5835,2,21
2016-05-26,207,32,3,1178,21,62,5852,0,28
2016-05-27,200,19,3,1128,11,76,5057,3,24
2016-05-28,133,26,1,1328,14,68,9206,1,15
2016-05-29,180,18,2,1279,13,59,6952,0,18
2016-05-30,212,30,3,1258,16,51,9699,5,23
2016-05-31,176,30,2,2101,9,93,5829,0,14
2016-06-01,243,25,0,1167,13,90,5604,1,16
2016-06-02,175,35,2,1189,15,75,5088,0,62
2016-06-03,235,28,2,1042,20,67,5625,2,26
2016-06-04,155,26,2,1069,10,71,7737,1,21
2016-06-05,175,33,0,771,13,66,6995,4,24
2016-06-06,171,21,1,683,11,60,5555,1,12
2016-06-07,239,28,0,747,11,77,4576,1,18
2016-06-08,232,20,0,840,12,65,5018,0,22
2016-06-09,201,25,0,934,7,66,4457,2,13
2016-06-10,174,20,2,1026,9,72,4774,1,12
2016-06-11,129,18,5,935,10,55,6868,2,16
2016-06-12,167,18,0,1047,10,60,9615,0,11
2016-06-13,217,27,2,916,20,82,5737,1,21
2016-06-14,170,37,0,771,12,85,5019,0,23
2016-06-15,193,24,1,928,14,62,5584,0,19
2016-06-16,190,37,2,781,12,70,5271,4,25
2016-06-17,128,22,1,908,22,69,6153,1,16
2016-06-18,172,22,2,1009,20,73,6655,0,28
2016-06-19,173,20,0,1085,24,50,6706,0,29
2016-06-20,189,30,1,827,7,96,5666,2,24
2016-06-21,165,32,3,1013,19,67,4867,1,25
2016-06-22,172,19,0,886,4,73,4900,0,17
2016-06-23,171,24,1,878,13,77,4929,0,15
2016-06-24,121,24,0,853,12,77,5583,0,13
2016-06-25,106,21,3,891,13,70,7209,2,21
2016-06-26,146,24,3,921,7,58,9265,0,11
2016-06-27,180,18,3,695,14,71,5620,2,16
2016-06-28,220,21,2,607,10,75,4317,3,11
2016-06-29,162,31,1,631,19,67,4848,7,35
2016-06-30,139,24,5,720,8,63,4571,0,13
2016-07-01,107,18,3,729,8,47,5631,2,15
2016-07-02,127,45,3,718,9,67,6392,0,18
2016-07-03,123,35,1,710,10,52,6261,1,13
2016-07-04,152,39,1,610,21,77,5198,1,19
2016-07-05,162,32,5,643,7,47,5095,5,9
2016-07-06,160,24,6,713,9,58,4992,2,17
2016-07-07,153,34,5,682,8,64,4195,0,14
2016-07-08,142,24,1,677,5,70,4559,2,15
2016-07-09,136,36,0,585,13,47,5680,2,12
2016-07-10,162,27,2,665,10,75,11692,0,21
2016-07-11,155,34,4,623,8,58,6827,2,18
2016-07-12,152,32,3,712,17,68,5916,0,18
2016-07-13,259,24,4,643,15,62,5300,3,14
2016-07-14,166,14,0,604,8,56,4966,1,10
2016-07-15,144,21,3,594,11,50,5588,0,16
2016-07-16,102,19,4,620,6,61,7427,0,16
2016-07-17,136,22,0,701,12,54,6541,2,26
2016-07-18,135,23,2,692,14,73,5502,26,12
2016-07-19,155,31,1,682,8,53,4903,8,14
2016-07-20,144,14,2,547,6,93,4189,5,9
2016-07-21,142,25,0,669,9,82,4005,7,21
2016-07-22,118,30,1,836,11,71,8559,14,18
2016-07-23,112,15,2,1100,9,81,8196,5,13
2016-07-24,174,33,3,1103,11,60,8119,4,16
2016-07-25,166,21,3,826,17,63,6608,4,22
2016-07-26,291,42,3,853,17,57,5052,5,17
2016-07-27,196,33,5,1126,10,59,5612,9,9
2016-07-28,181,31,3,826,12,52,4697,1,14
2016-07-29,188,30,1,895,16,54,5497,2,16
2016-07-30,111,25,5,732,11,54,6385,18,23
2016-07-31,148,27,1,701,19,59,7636,9,27
2016-08-01,170,36,7,875,11,78,8798,21,17
2016-08-02,137,23,1,752,13,85,9828,23,27
2016-08-03,145,28,5,806,14,72,6257,7,28
2016-08-04,139,26,2,567,9,75,6157,8,16
2016-08-05,112,28,3,837,11,65,5632,1,23
2016-08-06,130,23,3,652,13,38,5736,4,26
2016-08-07,136,22,1,507,8,58,6087,5,22
2016-08-08,134,21,2,481,6,76,6793,16,14
2016-08-09,173,16,3,490,11,81,4840,12,20
2016-08-10,177,11,1,468,7,71,5514,5,19
2016-08-11,152,22,1,525,13,56,5531,6,15
2016-08-12,140,20,2,717,8,67,5078,4,16
2016-08-13,107,35,0,1067,7,56,6626,10,15
2016-08-14,131,25,1,1398,11,80,7326,14,15
2016-08-15,187,23,10,2175,10,76,6013,19,11
2016-08-16,159,21,3,1007,12,72,6169,9,16
2016-08-17,203,21,5,1148,10,64,8524,9,14
2016-08-18,207,33,5,914,8,40,4824,5,26
2016-08-19,150,22,3,921,13,78,5242,4,10
2016-08-20,155,20,3,785,17,61,5758,2,18
2016-08-21,198,27,2,916,19,61,6367,5,27
2016-08-22,155,28,3,949,6,76,5146,8,10
2016-08-23,261,27,2,733,16,73,5066,4,21
2016-08-24,261,31,3,787,7,87,5284,37,20
2016-08-25,218,28,1,801,9,67,4954,5,28
2016-08-26,216,24,2,674,13,80,4770,4,32
2016-08-27,136,26,3,676,12,61,10344,1,26
2016-08-28,204,20,1,733,9,69,9912,0,23
2016-08-29,205,39,6,628,14,101,6825,5,24
