Date,"Xx (album)","Jennifer Lawrence","Richard II of England","Hurricane Andrew","Heathenry (new religious movement)","Bone Wars","Lundomys","My Happiness (Powderfinger song)","2015 Vuelta a España"
2016-06-15,1939,13217,2355,652,446,293,15,32,94
2016-06-16,2117,13308,2074,633,421,120,12,30,102
2016-06-17,2148,12577,1772,543,432,86,14,28,72
2016-06-18,2117,12820,1858,496,412,76,19,26,84
2016-06-19,2059,17982,1854,619,393,87,12,31,86
2016-06-20,2086,13911,1987,567,452,114,5,35,95
2016-06-21,3458,12066,2267,590,399,125,12,32,122
2016-06-22,2169,11164,1937,540,458,98,4,19,88
2016-06-23,2254,12043,1842,543,1284,511,5,24,85
2016-06-24,2160,11798,1899,455,852,297,7,22,73
2016-06-25,2165,12295,1878,420,521,90,19,38,70
2016-06-26,2265,14362,2008,551,476,103,14,17,56
2016-06-27,2143,11693,1772,760,592,157,14,32,110
2016-06-28,2211,11333,2264,579,445,1243,4,25,129
2016-06-29,2103,10747,2310,641,442,1255,7,26,127
2016-06-30,2043,14910,1851,487,455,125,7,26,167
2016-07-01,2087,11849,1839,499,415,97,10,23,183
2016-07-02,1948,12009,1820,460,407,104,8,28,260
2016-07-03,2160,13078,1894,469,395,100,8,24,235
2016-07-04,1978,14074,1972,540,444,111,8,19,300
2016-07-05,2220,12554,1878,529,404,104,6,24,275
2016-07-06,2741,11118,1927,639,397,96,13,30,380
2016-07-07,2821,11363,1723,679,336,120,10,26,332
2016-07-08,2817,10978,1653,538,387,98,8,31,326
2016-07-09,2734,12186,1784,470,418,97,12,27,439
2016-07-10,2653,13110,1837,471,467,104,11,25,924
2016-07-11,2276,11549,1885,564,503,104,11,31,521
2016-07-12,2341,10869,1871,520,410,92,14,36,491
2016-07-13,2502,10730,1757,492,452,111,8,27,437
2016-07-14,2414,10001,1844,660,410,87,9,30,510
2016-07-15,2600,10102,1861,505,379,84,7,24,750
2016-07-16,2692,11401,2016,483,376,87,4,24,444
2016-07-17,2863,12286,1903,538,424,99,14,30,673
2016-07-18,2665,11229,2975,510,418,107,6,19,513
2016-07-19,2713,10191,1779,497,447,72,7,28,389
2016-07-20,2679,11336,1880,507,396,85,3,24,668
2016-07-21,2689,10148,1728,516,431,92,6,15,849
2016-07-22,2698,10588,1452,421,543,78,9,21,935
2016-07-23,2605,13071,1422,457,617,82,13,23,882
2016-07-24,2634,16864,1762,677,657,102,17,25,1239
2016-07-25,2754,12519,1625,557,480,98,10,29,838
2016-07-26,2552,10531,1638,563,508,106,17,17,742
2016-07-27,2685,10674,1623,535,427,109,11,19,382
2016-07-28,2678,9856,1686,577,449,136,14,23,331
2016-07-29,2728,9623,1482,588,346,275,14,22,382
2016-07-30,2751,11284,1524,522,370,159,10,31,239
2016-07-31,2683,11946,1817,672,459,130,13,24,200
2016-08-01,2624,11122,1877,671,483,114,9,27,249
2016-08-02,2549,10289,1756,721,470,106,9,22,184
2016-08-03,2647,9602,1721,726,462,117,20,70,210
2016-08-04,2844,9642,1676,768,466,122,9,29,216
2016-08-05,2659,10071,1855,657,518,98,11,36,172
2016-08-06,2536,10473,2075,559,398,86,13,34,221
2016-08-07,2516,10883,1845,672,464,85,9,39,197
2016-08-08,2634,9693,1703,680,541,90,8,25,155
2016-08-09,2698,8961,1576,664,564,100,10,35,144
2016-08-10,2529,8861,1593,720,463,181,10,20,197
2016-08-11,2770,8815,1597,570,483,147,7,17,148
2016-08-12,2656,9434,1427,625,463,127,11,21,130
2016-08-13,2556,10071,1392,828,419,63,5,18,92
2016-08-14,2416,10532,1761,781,463,88,10,29,120
2016-08-15,2393,15806,1552,846,494,97,7,27,313
2016-08-16,2392,12191,1596,832,499,158,7,20,249
2016-08-17,2452,9483,1554,954,499,128,6,24,311
2016-08-18,2636,8427,1557,1076,447,101,9,38,469
2016-08-19,2584,8323,1567,937,425,114,7,28,580
2016-08-20,2599,9250,1513,876,391,87,12,27,749
2016-08-21,2817,9918,1818,865,492,108,20,38,531
2016-08-22,2849,8869,1888,1346,657,145,9,24,479
2016-08-23,3101,16318,1818,2398,583,189,12,35,432
2016-08-24,3039,25084,1682,6327,543,108,8,31,337
2016-08-25,2958,18559,1720,5192,505,99,12,38,505
2016-08-26,2981,15457,1698,2291,579,102,10,29,336
2016-08-27,2860,13397,1682,1691,488,92,11,21,384
2016-08-28,2704,19459,1983,1898,521,104,8,37,408
2016-08-29,2623,13219,1920,2275,758,149,11,39,602
2016-08-30,2842,10234,1841,2299,544,167,9,35,376
2016-08-31,2741,9350,1772,3037,609,140,16,18,509
2016-09-01,2749,9195,1803,7607,496,159,12,30,423
2016-09-02,2483,10316,1859,9842,478,225,15,35,316
2016-09-03,2540,11085,1803,3613,509,173,7,33,538
2016-09-04,2728,11832,1781,2198,530,176,7,27,673
2016-09-05,2813,11043,2647,1783,550,156,14,27,504
2016-09-06,2630,9743,1871,1658,604,166,15,38,326
2016-09-07,2719,9277,1924,1198,550,158,9,14,333
2016-09-08,2625,8797,1780,1135,623,202,8,20,385
2016-09-09,2639,9457,1703,878,534,179,16,33,536
2016-09-10,2614,11202,1649,789,508,150,16,26,658
2016-09-11,2449,12151,1981,815,580,138,2,13,741
2016-09-12,2852,10293,1979,1015,491,224,12,31,446
2016-09-13,2789,10131,1917,1171,537,200,17,38,197
2016-09-14,2873,9743,1857,1326,552,237,14,27,133
2016-09-15,2826,9680,1833,1249,530,201,7,27,127
2016-09-16,3589,9967,1826,1133,439,165,9,30,85
2016-09-17,3279,11540,1865,670,420,128,10,25,69
2016-09-18,2831,19885,2084,809,541,224,10,38,66
2016-09-19,2778,11806,2099,976,513,326,11,32,66
2016-09-20,2763,19396,1864,1102,523,247,3,24,70
2016-09-21,2669,23547,1812,1021,487,239,9,22,48
2016-09-22,3243,16094,1926,911,481,410,148,139,47
2016-09-23,2929,14342,1798,976,491,316,9,19,213
2016-09-24,3040,16389,1545,577,453,343,11,26,43
2016-09-25,3048,20077,1849,616,485,245,6,19,36
2016-09-26,3050,15725,1866,968,493,293,10,29,53
2016-09-27,2879,12313,1771,956,490,214,9,28,29
2016-09-28,3184,11837,2066,1130,502,218,11,33,39
2016-09-29,3439,10800,2197,1386,540,257,13,48,45
2016-09-30,3077,10740,6340,2562,432,229,8,29,44
