Date,"Madman's Drum","English Benedictine Reform","Smilodon","Wrestle Kingdom 9","Defense of the Ancients","Clinton Engineer Works","Francis Poulenc","Operation Ironside","Rogue River (Oregon)"
2016-08-26,10,21,1304,329,1394,46,216,14,185
2016-08-27,13,15,1155,301,1332,52,220,18,198
2016-08-28,8,13,1279,348,1308,51,212,12,220
2016-08-29,13,33,1294,363,1422,56,271,23,178
2016-08-30,9,31,1242,273,1300,60,257,15,147
2016-08-31,9,23,1189,293,1225,59,268,17,145
2016-09-01,12,27,1250,316,1082,45,252,12,151
2016-09-02,10,16,1050,281,1114,53,243,18,154
2016-09-03,7,22,1185,300,1095,40,208,12,134
2016-09-04,9,16,1166,304,1047,55,199,4,154
2016-09-05,15,23,1396,258,1076,4095,204,14,141
2016-09-06,11,23,1267,223,1123,328,241,11,174
2016-09-07,2,22,1593,261,1144,111,240,5,137
2016-09-08,10,19,1267,274,1050,74,207,10,145
2016-09-09,14,23,1245,251,1051,71,218,12,139
2016-09-10,10,12,1119,241,1042,64,201,7,119
2016-09-11,6,12,1286,232,1202,55,229,4,135
2016-09-12,10,23,1401,265,1252,94,257,17,151
2016-09-13,19,22,1730,224,1493,88,256,15,136
2016-09-14,9,23,1728,237,1355,60,255,12,162
2016-09-15,10,25,4291,286,1233,48,237,10,163
2016-09-16,9,24,1702,269,1086,56,220,10,147
2016-09-17,7,21,1279,297,1054,57,204,5,126
2016-09-18,13,28,1354,266,1205,45,270,16,150
2016-09-19,10,26,1317,270,1195,65,253,11,139
2016-09-20,4,21,1209,213,1244,116,237,4,109
2016-09-21,12,16,1208,225,1387,70,276,9,126
2016-09-22,99,222,1498,506,1361,428,660,14,555
2016-09-23,9,133,1091,246,1197,51,287,72,113
2016-09-24,10,22,1099,273,1086,52,218,21,131
2016-09-25,8,20,1157,233,1107,70,246,6,117
2016-09-26,12,33,1304,203,1178,62,277,13,157
2016-09-27,7,31,1200,202,1064,42,233,12,129
2016-09-28,11,25,1217,218,1130,67,241,20,135
2016-09-29,10,28,1249,180,1112,51,223,14,139
2016-09-30,13,24,1127,192,1108,46,1091,16,109
2016-10-01,5,18,1158,280,953,46,690,5,99
2016-10-02,19,18,1274,202,1111,46,323,17,113
2016-10-03,12,28,1378,208,1124,49,314,9,140
2016-10-04,7,14,1338,148,1166,67,336,8,131
2016-10-05,10,24,1193,149,1183,65,290,11,120
2016-10-06,6,34,1246,138,1048,53,301,9,121
2016-10-07,14,37,1196,123,1103,57,270,16,103
2016-10-08,11,25,1149,190,1146,47,269,10,123
2016-10-09,8,28,1134,184,1053,44,278,9,138
2016-10-10,12,37,1199,202,1146,70,272,12,117
2016-10-11,9,35,1298,178,1207,49,291,8,128
2016-10-12,13,35,1423,156,1115,60,296,9,113
2016-10-13,8,32,1321,259,1199,46,282,13,129
2016-10-14,14,38,1242,233,1316,67,254,10,133
2016-10-15,10,20,1209,225,1146,55,255,12,99
2016-10-16,8,44,1342,239,1164,50,285,7,106
2016-10-17,5,38,1329,184,1144,76,301,8,121
2016-10-18,10,36,1289,161,1219,66,345,17,120
2016-10-19,10,33,1249,127,1091,88,302,9,95
2016-10-20,8,34,1392,149,1174,63,309,12,90
2016-10-21,8,37,1198,174,1093,53,271,9,96
2016-10-22,8,11,1185,227,1176,38,206,5,97
2016-10-23,7,25,1209,208,1108,50,224,16,131
2016-10-24,10,45,1243,177,1052,54,335,10,158
2016-10-25,14,27,1326,167,1027,54,309,15,150
2016-10-26,8,41,1175,127,1057,55,304,9,128
2016-10-27,7,28,1242,140,1044,61,310,11,128
2016-10-28,13,33,1059,186,1089,53,291,18,110
2016-10-29,10,21,1051,169,1060,61,199,12,115
2016-10-30,9,37,1149,143,1303,57,268,10,111
2016-10-31,11,22,1206,161,1084,76,270,13,92
2016-11-01,13,34,1187,152,994,79,273,15,125
2016-11-02,10,29,1262,123,1135,66,246,13,92
2016-11-03,28,23,1328,138,1155,69,261,8,90
2016-11-04,23,22,1163,187,1106,52,244,15,100
2016-11-05,4,18,1142,248,1110,56,271,7,112
2016-11-06,9,24,1227,214,1127,63,277,10,87
2016-11-07,9,29,1403,263,1096,60,332,8,120
2016-11-08,22,42,1196,192,1068,86,289,20,83
2016-11-09,14,33,1033,117,742,48,277,9,79
2016-11-10,11,22,1335,161,933,42,263,10,95
2016-11-11,14,20,1122,177,901,47,268,13,91
2016-11-12,3,15,1145,145,917,43,255,3,84
2016-11-13,10,16,1203,167,1055,44,270,8,114
2016-11-14,9,33,1846,226,1076,73,344,9,108
2016-11-15,11,29,1511,177,1031,58,299,19,105
2016-11-16,8,28,1348,111,1134,76,283,17,94
2016-11-17,5,26,1433,171,1142,86,336,10,116
2016-11-18,12,20,1214,154,1212,67,330,11,87
2016-11-19,15,35,1205,163,1041,50,281,18,102
2016-11-20,8,28,1232,171,1087,52,321,9,120
2016-11-21,15,29,1267,132,1225,70,278,6,120
2016-11-22,7,29,1180,125,1027,66,311,13,107
2016-11-23,2,19,1304,139,991,56,264,6,79
2016-11-24,10,30,1237,149,1024,67,234,9,91
