Date,"Madman's Drum","English Benedictine Reform","Smilodon","Wrestle Kingdom 9","Defense of the Ancients","Clinton Engineer Works","Francis Poulenc","Operation Ironside","Rogue River (Oregon)"
2017-08-14,15,26,1164,384,2645,48,317,17,204
2017-08-15,14,22,1040,343,1946,108,305,23,256
2017-08-16,16,21,1159,263,2418,73,252,21,186
2017-08-17,10,34,1093,263,1971,73,247,12,193
2017-08-18,20,22,1056,243,1658,46,199,19,141
2017-08-19,14,25,1147,190,1450,55,185,8,147
2017-08-20,9,38,1200,183,1101,83,196,29,188
2017-08-21,8,20,1063,201,1088,66,239,13,223
2017-08-22,13,28,984,168,1149,68,208,17,200
2017-08-23,12,17,1061,173,1043,73,219,11,157
2017-08-24,22,21,899,141,1047,66,225,26,181
2017-08-25,12,11,1037,156,1168,59,189,12,157
2017-08-26,4,13,1076,148,1402,44,164,9,144
2017-08-27,11,33,1027,138,867,57,197,16,183
2017-08-28,13,24,1081,138,1095,46,230,13,177
2017-08-29,6,24,1072,135,940,55,246,16,140
2017-08-30,10,33,1196,136,947,65,191,26,132
2017-08-31,8,37,1139,127,933,51,211,33,124
2017-09-01,10,14,998,137,849,49,165,17,143
2017-09-02,8,14,1085,122,832,41,180,17,170
2017-09-03,6,13,1071,123,832,68,330,12,115
2017-09-04,10,16,1099,155,894,87,341,12,192
2017-09-05,11,26,1136,90,826,82,323,18,145
2017-09-06,12,24,1208,120,889,63,322,13,159
2017-09-07,12,17,1113,147,878,64,268,6,109
2017-09-08,6,25,913,105,849,52,242,4,100
2017-09-09,9,21,1108,143,810,51,254,10,156
2017-09-10,17,10,1005,134,741,65,267,13,123
2017-09-11,8,26,997,105,855,41,222,8,105
2017-09-12,9,23,1005,96,791,54,242,5,119
2017-09-13,10,26,1188,77,868,44,260,10,111
2017-09-14,20,25,1045,114,869,60,265,16,116
2017-09-15,14,25,949,108,939,45,260,12,145
2017-09-16,10,17,971,119,832,52,192,11,115
2017-09-17,6,27,1114,126,815,39,240,11,87
2017-09-18,12,26,1100,100,906,62,268,11,129
2017-09-19,18,36,1165,110,807,54,285,17,143
2017-09-20,12,28,1015,92,795,55,255,12,99
2017-09-21,7,12,1115,88,888,66,238,9,124
2017-09-22,15,30,1247,94,963,61,246,9,104
2017-09-23,9,20,896,134,844,71,234,12,119
2017-09-24,12,20,1177,121,851,47,211,9,125
2017-09-25,9,29,1094,86,991,50,244,11,119
2017-09-26,14,27,1073,91,900,55,257,10,144
2017-09-27,8,29,1005,103,814,40,250,11,116
2017-09-28,428,25,1107,100,859,64,245,12,100
2017-09-29,83,25,968,104,781,63,219,14,110
2017-09-30,48,17,974,105,735,54,193,9,96
2017-10-01,20,25,1199,128,665,61,220,5,99
2017-10-02,31,25,1039,111,769,60,236,14,130
2017-10-03,20,19,1052,85,984,76,276,10,133
2017-10-04,25,36,1085,103,720,68,229,10,125
2017-10-05,26,33,1043,76,736,51,245,14,230
2017-10-06,13,21,1015,93,815,62,247,12,110
2017-10-07,14,37,935,121,817,46,226,18,98
2017-10-08,17,26,978,106,791,36,235,14,116
2017-10-09,20,43,1030,161,736,60,281,14,119
2017-10-10,9,36,1134,152,812,51,235,6,96
2017-10-11,20,37,1112,157,855,56,445,16,107
2017-10-12,24,41,1048,128,800,67,331,15,116
2017-10-13,20,37,1124,124,816,56,276,19,127
2017-10-14,16,26,936,112,820,38,238,18,104
2017-10-15,18,38,1076,149,822,72,268,17,112
2017-10-16,9,44,1074,155,800,69,320,2,130
2017-10-17,16,41,1065,103,784,57,321,18,111
2017-10-18,15,43,1244,145,766,66,288,12,162
2017-10-19,20,44,1236,128,872,109,295,10,127
2017-10-20,17,51,1148,150,945,59,251,15,124
2017-10-21,9,27,1168,184,795,44,243,16,132
2017-10-22,8,33,1236,192,763,61,268,12,106
2017-10-23,12,48,1252,160,849,81,271,16,125
2017-10-24,12,33,1366,165,801,75,265,17,149
2017-10-25,20,43,1239,237,767,64,246,6,137
2017-10-26,11,62,1264,274,842,62,290,12,101
2017-10-27,16,30,1118,160,755,66,247,16,106
2017-10-28,16,22,931,193,744,62,217,13,133
2017-10-29,11,30,1062,210,818,56,683,9,181
2017-10-30,10,29,1167,176,833,64,256,6,163
2017-10-31,11,27,1070,141,937,64,268,12,127
2017-11-01,12,35,1101,167,894,57,264,11,142
2017-11-02,9,43,1048,140,855,62,275,12,179
2017-11-03,8,43,1098,185,931,47,245,10,146
2017-11-04,6,37,1109,178,1027,46,206,9,121
2017-11-05,9,27,1097,837,929,59,253,21,96
2017-11-06,11,30,1141,895,888,49,279,10,205
2017-11-07,13,65,1247,508,926,71,294,12,204
2017-11-08,7,47,1310,400,859,54,311,10,111
2017-11-09,11,30,1195,366,829,51,259,9,222
2017-11-10,10,34,1231,363,772,65,242,5,95
2017-11-11,12,40,1321,437,842,42,250,18,249
2017-11-12,12,30,1590,426,793,43,242,14,136
2017-11-13,15,61,1504,362,827,72,318,20,113
2017-11-14,10,28,1442,283,845,93,339,21,112
2017-11-15,11,31,1357,266,903,46,333,12,110
2017-11-16,17,47,1129,255,866,55,347,18,93
2017-11-17,13,30,1183,198,755,59,265,7,84
2017-11-18,12,14,1124,192,741,43,221,13,78
2017-11-19,8,37,1122,158,763,51,292,8,91
2017-11-20,26,39,1130,193,705,50,341,13,133
2017-11-21,11,25,1146,167,864,50,307,15,140
2017-11-22,7,20,1023,169,849,43,286,10,121
2017-11-23,10,22,1471,158,743,37,250,16,89
2017-11-24,9,17,1059,224,658,51,241,13,121
2017-11-25,17,24,1056,432,725,54,249,21,132
2017-11-26,13,18,1273,167,807,51,235,10,152
2017-11-27,13,36,1148,243,758,83,309,14,115
2017-11-28,18,32,1239,199,764,65,346,18,117
2017-11-29,9,33,1161,185,687,57,373,11,88
2017-11-30,9,27,1166,167,736,63,267,8,120
2017-12-01,19,35,4140,184,748,52,238,17,121
2017-12-02,9,33,1243,206,664,146,260,6,82
2017-12-03,5,21,1118,229,788,109,277,9,91
2017-12-04,14,47,1232,225,743,77,361,12,111
2017-12-05,10,41,1157,190,791,78,324,12,216
2017-12-06,11,40,1216,194,761,66,274,12,137
2017-12-07,18,34,1107,183,732,52,277,18,121
2017-12-08,11,25,1104,218,737,51,247,11,94
2017-12-09,16,20,1095,208,704,56,277,21,104
2017-12-10,18,25,1048,214,698,68,294,19,107
2017-12-11,17,63,1227,256,748,97,319,27,111
2017-12-12,17,36,1247,317,722,59,272,12,119
2017-12-13,18,42,1119,279,761,54,258,13,106
2017-12-14,21,42,1144,329,734,68,271,13,96
2017-12-15,13,31,1072,278,602,56,263,12,115
2017-12-16,15,23,1178,292,648,43,248,15,106
2017-12-17,18,30,1179,286,623,60,233,21,108
2017-12-18,14,34,1157,298,692,55,276,14,97
2017-12-19,13,35,1160,362,711,55,226,18,127
2017-12-20,16,31,1167,339,699,75,233,14,168
2017-12-21,10,14,1054,332,677,66,188,10,125
2017-12-22,11,9,1004,323,661,33,196,11,107
2017-12-23,10,26,1031,309,617,45,230,10,109
2017-12-24,6,11,1155,329,534,35,182,7,77
2017-12-25,14,9,1206,445,538,44,208,20,119
2017-12-26,6,23,1168,387,637,99,158,13,132
2017-12-27,16,21,1463,318,660,86,164,19,134
2017-12-28,8,15,1424,417,644,96,221,8,107
2017-12-29,8,21,1063,501,630,62,195,14,159
2017-12-30,4,17,1090,419,603,42,165,8,138
2017-12-31,12,15,1083,456,562,52,189,13,124
2018-01-01,6,20,1249,544,620,66,217,18,109
2018-01-02,9,22,1258,904,791,59,234,14,129
2018-01-03,18,22,1309,1238,771,52,230,13,128
2018-01-04,11,21,1294,4650,784,46,230,9,112
2018-01-05,8,20,1311,2668,736,46,281,9,103
2018-01-06,12,13,1725,1656,724,68,302,14,121
2018-01-07,10,25,1388,1388,765,59,561,14,128
2018-01-08,12,36,1357,1089,786,44,360,13,131
2018-01-09,12,26,1388,637,718,55,280,9,140
2018-01-10,8,23,1457,580,685,79,308,8,179
2018-01-11,7,33,1658,483,715,61,305,16,180
2018-01-12,16,34,1535,439,724,78,241,16,179
2018-01-13,11,22,1389,429,676,39,253,10,139
2018-01-14,17,30,1505,407,748,59,259,18,167
2018-01-15,17,24,1478,341,705,69,272,16,181
2018-01-16,10,26,1526,306,751,75,253,10,126
2018-01-17,21,36,1525,270,720,57,264,13,128
2018-01-18,13,39,1366,245,810,65,273,14,115
2018-01-19,8,35,1395,250,776,90,241,12,143
2018-01-20,12,40,1270,239,736,36,249,14,110
2018-01-21,11,58,1364,232,807,70,251,13,106
2018-01-22,13,32,1364,267,845,2616,299,7,132
2018-01-23,11,37,1342,152,803,277,285,10,125
2018-01-24,8,27,1218,141,848,141,341,11,117
2018-01-25,11,40,1463,207,847,120,266,6,109
2018-01-26,12,24,1325,163,740,64,301,12,119
2018-01-27,7,23,1288,160,774,60,212,7,122
2018-01-28,9,21,1393,182,769,74,316,9,115
2018-01-29,15,21,1438,468,880,65,342,14,126
2018-01-30,4,38,1338,224,747,67,375,11,143
2018-01-31,3,28,1282,269,772,44,323,12,114
2018-02-01,8,26,1305,222,779,52,282,10,117
2018-02-02,9,21,1265,214,764,62,275,19,100
2018-02-03,10,19,1145,186,721,52,213,8,125
2018-02-04,11,30,1276,202,706,58,290,11,98
2018-02-05,11,26,1207,183,754,80,278,5,213
2018-02-06,11,18,1310,166,762,63,303,10,124
2018-02-07,11,16,1190,147,708,60,307,11,154
2018-02-08,16,31,1322,192,747,78,291,12,119
2018-02-09,18,25,1159,207,697,72,344,13,111
2018-02-10,9,21,1085,160,662,60,259,11,126
2018-02-11,9,21,1200,132,696,69,266,13,116
2018-02-12,10,25,1251,166,721,77,320,7,100
2018-02-13,5,21,1245,167,682,101,320,14,119
2018-02-14,7,31,1275,117,601,52,241,9,127
2018-02-15,18,24,1161,151,695,44,305,15,110
2018-02-16,13,26,1059,134,721,50,286,6,87
2018-02-17,10,28,1091,150,744,51,285,18,136
2018-02-18,14,20,1192,142,729,44,269,11,118
2018-02-19,8,23,1450,138,772,70,301,9,139
2018-02-20,11,30,1239,133,748,91,274,8,107
2018-02-21,11,39,1333,133,768,103,291,17,120
2018-02-22,15,30,1199,155,877,117,322,16,139
2018-02-23,15,31,1133,128,823,106,290,14,108
2018-02-24,17,27,1185,147,747,87,267,10,123
2018-02-25,25,46,1414,139,742,125,302,29,143
2018-02-26,9,40,1369,171,773,144,314,14,116
2018-02-27,12,33,1249,190,821,123,331,10,113
2018-02-28,12,30,1180,174,770,138,301,8,148
2018-03-01,10,39,1216,162,790,120,343,8,132
2018-03-02,13,30,1136,126,768,97,275,12,129
2018-03-03,14,19,1182,124,677,112,224,14,129
2018-03-04,14,27,1251,167,763,111,299,13,151
2018-03-05,7,25,1256,144,741,141,321,13,158
2018-03-06,9,30,1376,110,723,130,299,16,156
2018-03-07,8,38,1215,129,744,119,329,10,120
2018-03-08,17,51,1218,133,738,116,272,13,140
2018-03-09,15,27,1275,127,899,122,246,12,166
2018-03-10,10,20,1168,142,756,108,257,8,108
2018-03-11,8,24,1302,144,855,84,306,11,167
2018-03-12,11,35,1387,301,886,113,378,12,139
2018-03-13,7,14,1260,158,836,133,319,9,129
2018-03-14,7,17,1268,187,786,124,309,9,115
2018-03-15,15,32,1241,179,785,121,316,9,170
2018-03-16,14,25,1207,157,736,98,313,13,129
2018-03-17,5,27,1066,174,749,113,298,11,106
2018-03-18,6,35,1244,144,715,100,313,12,114
2018-03-19,12,38,1320,143,843,133,300,22,141
2018-03-20,9,35,1274,145,786,123,315,12,143
2018-03-21,14,31,1432,168,789,148,380,16,139
2018-03-22,12,25,1337,156,752,140,343,13,140
2018-03-23,11,16,1301,155,739,113,294,12,101
2018-03-24,14,16,1212,137,651,98,323,9,125
2018-03-25,18,22,1291,152,746,114,270,9,149
2018-03-26,12,25,1362,190,673,133,326,15,147
2018-03-27,16,27,1367,166,738,146,328,12,149
2018-03-28,14,27,1319,232,702,142,317,11,132
2018-03-29,10,26,1288,160,650,137,299,10,109
2018-03-30,6,17,1250,200,707,52,281,7,107
2018-03-31,14,11,1160,176,697,46,264,3,106
2018-04-01,12,29,1353,248,713,63,241,10,116
2018-04-02,9,26,1402,289,788,69,309,19,146
2018-04-03,15,32,1231,240,764,85,311,19,159
2018-04-04,13,31,1317,277,831,76,308,11,132
2018-04-05,12,30,1288,245,741,68,309,21,151
2018-04-06,12,23,1247,280,727,60,281,12,134
2018-04-07,8,17,1187,227,784,68,244,10,106
2018-04-08,7,14,1196,256,765,71,282,9,137
2018-04-09,11,28,1295,764,792,77,311,9,141
2018-04-10,17,3114,1382,238,707,76,343,13,140
2018-04-11,9,326,1330,229,778,73,307,16,131
2018-04-12,14,115,1291,178,750,90,319,19,138
2018-04-13,16,71,1329,253,736,72,300,12,110
2018-04-14,12,48,1182,200,649,72,247,16,125
2018-04-15,9,32,1296,191,734,61,308,18,148
2018-04-16,13,45,1322,162,746,53,392,10,155
2018-04-17,19,51,1615,148,747,76,330,14,160
2018-04-18,8,44,1458,107,709,50,295,14,121
2018-04-19,9,38,1522,98,678,74,264,7,103
2018-04-20,10,40,1527,118,719,63,268,16,124
2018-04-21,3,22,1180,113,561,44,289,7,146
2018-04-22,13,33,1332,135,625,73,332,15,221
2018-04-23,9,33,1229,92,751,77,326,5,149
2018-04-24,7,40,1404,89,672,66,280,12,150
2018-04-25,16,50,1428,111,616,92,325,16,141
2018-04-26,4,32,1395,120,613,71,294,5,119
2018-04-27,6,25,1246,108,618,59,289,6,148
2018-04-28,8,31,1181,98,612,78,264,12,114
2018-04-29,5,26,1338,106,657,34,260,8,132
2018-04-30,9,31,1363,103,636,71,307,28,160
2018-05-01,10,38,1253,79,723,60,295,11,143
2018-05-02,10,38,1352,95,667,63,326,15,129
2018-05-03,12,35,1219,103,669,76,338,15,112
2018-05-04,7,24,1213,152,619,63,240,4,127
2018-05-05,10,21,1125,166,548,59,253,8,92
2018-05-06,6,25,1148,133,576,51,252,9,131
2018-05-07,9,54,1289,172,654,76,349,9,134
2018-05-08,8,39,1232,136,667,59,313,9,192
2018-05-09,11,49,1175,123,643,74,306,9,174
2018-05-10,10,35,1312,133,627,63,336,9,137
2018-05-11,8,26,1329,147,652,135,246,16,133
2018-05-12,7,11,1136,84,624,57,275,7,116
2018-05-13,10,31,1177,128,612,68,298,15,181
2018-05-14,6,51,1301,135,648,297,283,14,145
2018-05-15,8,31,1467,114,632,57,280,8,179
2018-05-16,11,39,1203,116,662,54,273,11,137
2018-05-17,9,46,1207,110,666,40,235,9,194
2018-05-18,12,52,1042,96,634,56,223,8,133
2018-05-19,7,32,932,88,528,36,204,10,115
2018-05-20,6,34,1391,110,574,48,224,13,166
2018-05-21,14,39,1314,84,780,65,233,9,148
2018-05-22,8,30,1467,78,691,56,251,10,343
2018-05-23,21,48,1491,92,729,85,266,20,176
2018-05-24,12,51,1574,112,626,120,320,13,142
2018-05-25,8,20,1983,98,672,96,256,5,144
2018-05-26,8,26,1763,85,725,58,209,6,131
2018-05-27,8,19,1387,102,623,66,232,11,135
2018-05-28,15,35,1359,109,674,56,255,8,171
2018-05-29,6,33,1380,97,834,74,290,4,162
2018-05-30,14,32,1302,104,754,80,255,10,169
2018-05-31,8,24,1204,94,762,71,226,6,182
2018-06-01,7,32,1056,112,678,46,228,10,152
2018-06-02,15,21,1090,94,615,361,194,14,135
2018-06-03,8,23,1205,105,669,144,213,8,178
2018-06-04,8,28,1323,92,672,122,323,7,188
2018-06-05,9,25,1242,108,702,101,363,13,237
2018-06-06,13,33,1791,95,701,48,483,14,165
2018-06-07,7,37,1597,112,670,65,533,11,178
2018-06-08,16,30,1307,131,674,65,289,11,178
2018-06-09,10,18,1184,233,642,62,325,11,130
2018-06-10,7,30,1192,203,673,61,433,6,137
2018-06-11,8,30,1189,254,654,61,338,11,156
2018-06-12,11,32,1553,205,602,57,542,12,139
2018-06-13,13,30,1150,173,679,81,467,9,180
2018-06-14,0,0,0,0,0,0,0,0,0
2018-06-15,8,22,1099,135,643,66,320,9,159
2018-06-16,8,23,982,96,525,51,348,9,128
2018-06-17,9,23,1295,129,564,56,453,8,157
