Date,"Gudovac massacre","Little Nemo (1911 film)","St Cuthbert Gospel","Clathrus ruber","James Moore (Continental Army officer)","Temperatures Rising","Battle of the Coral Sea","Wolfenstein 3D","Saint Luke Drawing the Virgin"
2016-02-21,44,39,75,91,25,54,881,729,105
2016-02-22,14,51,40,70,13,36,1513,824,77
2016-02-23,13,58,44,66,25,35,1648,674,52
2016-02-24,16,59,40,56,12,37,1612,719,34
2016-02-25,17,58,49,78,20,37,1772,673,28
2016-02-26,36,44,79,71,42,59,1323,670,22
2016-02-27,38,35,47,41,46,45,898,599,64
2016-02-28,5,68,58,50,23,54,1054,623,552
2016-02-29,12,69,43,57,24,42,1685,563,284
2016-03-01,16,40,33,58,19,39,1465,512,52
2016-03-02,43,50,42,40,27,43,1593,588,42
2016-03-03,19,55,40,49,19,29,1726,532,57
2016-03-04,74,46,68,47,23,38,1967,602,82
2016-03-05,20,269,57,64,13,51,788,548,296
2016-03-06,21,99,51,69,28,55,922,586,476
2016-03-07,13,80,48,85,19,39,1495,647,44
2016-03-08,31,56,56,72,24,39,1787,600,54
2016-03-09,32,51,69,84,25,42,1844,656,37
2016-03-10,35,48,47,96,18,32,1759,678,43
2016-03-11,10,55,53,118,23,44,1535,605,109
2016-03-12,9,56,53,640,24,59,697,531,36
2016-03-13,51,42,36,347,25,34,1036,609,45
2016-03-14,17,56,48,230,36,52,1501,624,73
2016-03-15,16,59,52,132,35,23,1586,557,25
2016-03-16,15,39,41,100,14,33,1580,630,32
2016-03-17,21,56,88,103,16,26,1570,608,93
2016-03-18,16,51,49,55,17,31,1383,578,31
2016-03-19,7,53,44,62,11,39,856,589,115
2016-03-20,9,54,59,74,14,46,985,592,100
2016-03-21,8,76,46,91,18,44,1746,523,49
2016-03-22,8,54,42,103,20,30,1459,565,23
2016-03-23,8,50,34,66,21,258,1569,630,55
2016-03-24,11,56,43,63,12,158,1267,566,22
2016-03-25,16,37,40,57,8,77,1213,610,26
2016-03-26,12,49,49,46,16,64,725,589,91
2016-03-27,12,47,39,100,17,44,786,557,105
2016-03-28,33,47,46,117,26,53,1349,661,314
2016-03-29,10,51,45,55,18,58,1308,589,48
2016-03-30,8,48,40,86,27,70,1383,646,82
2016-03-31,10,61,53,57,34,50,1311,692,124
2016-04-01,15,43,34,223,12,48,1213,673,80
2016-04-02,6,32,40,72,20,36,683,638,26
2016-04-03,9,50,49,85,22,53,968,709,73
2016-04-04,9,53,37,74,22,39,1499,617,282
2016-04-05,12,51,43,51,25,36,1826,701,49
2016-04-06,16,40,48,47,20,51,1622,621,29
2016-04-07,13,57,47,61,16,26,1539,733,26
2016-04-08,25,43,42,98,11,31,1470,678,46
2016-04-09,80,61,55,56,20,36,672,577,57
2016-04-10,77,45,50,69,21,43,917,603,98
2016-04-11,33,49,36,66,28,44,1739,671,67
2016-04-12,33,63,54,90,18,41,1646,666,16
2016-04-13,18,47,43,116,17,36,2069,602,35
2016-04-14,17,69,43,96,23,42,1744,585,116
2016-04-15,10,61,45,86,33,40,1517,740,129
2016-04-16,20,45,40,69,11,35,709,723,104
2016-04-17,49,58,70,102,27,45,953,711,97
2016-04-18,14,53,44,136,15,49,1630,741,91
2016-04-19,15,59,68,98,37,47,1634,662,114
2016-04-20,16,55,50,92,32,45,1666,662,117
2016-04-21,26,62,41,107,19,45,1684,768,109
2016-04-22,21,52,47,126,20,39,1439,1580,127
2016-04-23,19,51,57,81,22,39,702,708,155
2016-04-24,20,56,60,117,19,37,973,655,111
2016-04-25,68,59,48,127,16,24,1895,937,333
2016-04-26,32,71,58,94,20,33,1661,820,134
2016-04-27,27,88,48,115,19,42,1743,755,120
2016-04-28,19,47,47,92,21,36,1802,852,119
2016-04-29,17,40,44,61,9,41,1422,777,92
2016-04-30,87,55,44,113,13,37,744,710,111
2016-05-01,123,40,48,172,12,42,1057,749,108
2016-05-02,126,62,45,221,22,42,1837,814,113
2016-05-03,110,70,35,155,24,36,3126,829,115
2016-05-04,119,63,34,163,23,54,7318,738,119
2016-05-05,112,60,44,106,13,28,2763,883,112
2016-05-06,104,58,26,128,17,31,1998,875,81
2016-05-07,100,57,34,88,14,34,1722,798,72
2016-05-08,76,43,37,141,24,35,1915,850,72
2016-05-09,106,60,43,157,33,48,2175,938,85
2016-05-10,96,8146,59,120,13,46,1851,944,95
2016-05-11,79,405,50,219,18,51,1550,1005,86
2016-05-12,91,201,33,103,10,27,1560,945,89
2016-05-13,88,180,31,125,20,44,1374,1638,93
2016-05-14,86,63,59,100,11,39,1025,1610,75
2016-05-15,84,68,36,118,20,41,1055,1792,52
2016-05-16,100,56,36,101,57,44,1725,1934,40
2016-05-17,62,66,53,125,15,35,1607,1730,43
2016-05-18,14,59,39,126,35,28,1803,1593,39
2016-05-19,18,68,56,130,17,33,2252,1506,59
2016-05-20,11,67,43,98,16,34,1340,1401,42
2016-05-21,16,56,41,107,20,49,972,1291,29
2016-05-22,29,65,35,92,17,37,970,1354,22
2016-05-23,11,79,46,102,25,61,1351,1326,37
2016-05-24,15,69,47,108,20,31,1309,1223,35
2016-05-25,21,66,63,75,16,50,1257,1211,33
2016-05-26,20,81,55,99,23,65,1169,1112,50
2016-05-27,18,52,34,86,12,47,1141,1012,22
2016-05-28,12,45,44,141,19,43,881,1004,21
2016-05-29,17,51,55,93,16,34,1247,1073,28
2016-05-30,20,47,46,152,16,45,2808,972,37
2016-05-31,13,56,40,133,19,53,1984,1316,22
2016-06-01,28,59,45,101,22,52,1419,868,35
2016-06-02,26,70,38,86,24,41,1294,787,36
2016-06-03,16,54,45,114,35,36,1234,825,31
2016-06-04,15,44,43,95,18,36,1142,673,19
2016-06-05,18,51,39,134,16,39,1144,822,26
2016-06-06,15,44,47,118,13,34,1334,843,33
2016-06-07,23,53,48,90,17,44,1419,808,38
2016-06-08,12,53,47,95,20,34,1354,725,21
2016-06-09,6,46,27,102,8,28,1105,675,25
2016-06-10,13,54,28,144,20,28,972,686,18
2016-06-11,15,26,34,114,14,33,695,674,22
2016-06-12,31,34,37,96,16,36,850,734,29
2016-06-13,25,52,31,103,19,58,1103,1017,27
2016-06-14,18,48,44,72,30,41,1008,745,30
2016-06-15,12,51,45,76,23,40,920,685,38
2016-06-16,28,44,43,66,22,53,1072,723,44
2016-06-17,28,45,44,83,12,37,749,748,23
2016-06-18,25,63,48,113,16,45,664,609,41
2016-06-19,17,54,58,112,23,40,700,640,27
2016-06-20,23,45,22,96,17,40,907,726,19
2016-06-21,16,42,52,94,20,49,776,665,26
2016-06-22,54,41,40,89,21,42,768,1027,14
2016-06-23,22,51,48,142,15,29,889,743,27
2016-06-24,22,52,36,136,12,59,675,653,24
2016-06-25,30,43,96,126,21,45,597,665,23
2016-06-26,27,58,62,110,8,29,598,693,26
2016-06-27,25,43,58,96,26,49,683,694,36
2016-06-28,37,33,42,76,9,36,726,685,23
2016-06-29,28,49,49,90,15,38,728,761,27
2016-06-30,10,29,31,649,21,48,655,716,25
2016-07-01,15,40,46,110,18,27,634,627,20
2016-07-02,17,47,34,95,25,49,686,618,21
2016-07-03,18,49,40,122,18,48,664,716,27
2016-07-04,14,62,41,143,55,27,754,714,24
2016-07-05,10,46,63,77,16,46,691,862,21
2016-07-06,13,50,49,91,36,43,646,628,25
2016-07-07,13,52,43,77,17,39,754,658,28
2016-07-08,19,30,35,85,19,29,668,620,19
2016-07-09,30,45,41,142,12,48,630,532,148
2016-07-10,28,45,48,80,17,38,603,541,33
2016-07-11,21,46,44,66,17,37,723,731,40
2016-07-12,21,90,74,63,21,51,778,611,32
2016-07-13,23,54,46,50,22,47,700,554,21
2016-07-14,21,38,34,54,20,27,738,583,32
2016-07-15,15,38,49,79,16,37,619,560,32
2016-07-16,25,42,50,44,8,45,660,525,24
2016-07-17,27,45,58,88,21,39,679,539,26
2016-07-18,15,53,31,58,18,48,702,546,21
2016-07-19,18,51,38,60,17,53,729,566,22
2016-07-20,8,39,37,73,10,25,639,555,23
2016-07-21,12,42,38,70,14,33,662,475,40
2016-07-22,21,39,30,121,18,41,623,613,26
2016-07-23,20,43,28,69,15,28,719,470,23
2016-07-24,24,41,47,82,16,37,697,489,25
2016-07-25,24,47,54,56,34,37,920,563,32
2016-07-26,26,47,52,91,21,41,761,529,58
2016-07-27,25,43,42,70,12,38,673,553,23
2016-07-28,16,50,40,97,12,36,660,542,26
2016-07-29,24,53,62,117,31,30,701,601,28
2016-07-30,21,48,48,79,18,30,607,530,24
2016-07-31,19,40,73,98,19,49,670,571,33
2016-08-01,23,60,38,103,9,35,768,632,20
2016-08-02,20,42,50,165,16,44,762,604,24
2016-08-03,23,37,47,133,15,39,783,618,28
2016-08-04,19,42,42,116,15,52,727,606,23
2016-08-05,19,47,43,92,23,42,679,727,26
2016-08-06,38,49,41,90,28,38,579,725,21
2016-08-07,16,55,32,111,9,46,639,687,20
2016-08-08,14,48,31,151,13,25,677,691,27
2016-08-09,25,50,33,186,21,45,840,613,32
2016-08-10,17,44,27,107,14,36,839,621,21
2016-08-11,18,39,43,107,18,60,699,632,27
2016-08-12,14,48,32,113,16,54,636,586,19
2016-08-13,10,31,36,126,10,31,521,490,38
2016-08-14,20,40,43,175,18,44,683,480,25
2016-08-15,14,35,38,1223,23,45,789,543,37
2016-08-16,13,40,40,142,20,36,702,567,31
2016-08-17,10,46,33,143,18,49,627,559,28
2016-08-18,19,77,37,112,23,32,684,588,44
2016-08-19,22,52,39,93,21,36,653,520,29
2016-08-20,22,56,41,131,15,34,541,449,22
2016-08-21,20,65,44,93,23,30,634,505,33
2016-08-22,15,35,40,98,36,43,697,572,29
2016-08-23,24,59,54,133,14,52,839,587,35
2016-08-24,25,53,43,148,18,47,793,654,21
2016-08-25,16,48,34,147,15,33,784,598,30
2016-08-26,13,127,37,127,17,41,777,609,32
2016-08-27,21,49,40,110,19,31,680,570,25
2016-08-28,14,43,62,100,12,43,902,588,40
2016-08-29,20,59,34,93,20,145,904,675,28
2016-08-30,13,62,56,92,21,233,805,599,24
2016-08-31,17,48,55,77,21,110,732,584,31
2016-09-01,22,55,40,105,30,96,1679,609,29
2016-09-02,48,41,46,86,18,97,1026,563,28
2016-09-03,9,50,53,105,15,76,816,554,37
2016-09-04,9,60,42,86,18,75,798,557,26
2016-09-05,15,65,53,112,31,84,815,568,44
2016-09-06,11,58,43,85,32,53,935,548,41
2016-09-07,9,62,41,115,16,35,797,680,24
2016-09-08,9,69,52,105,20,47,843,546,33
2016-09-09,14,56,45,100,30,38,713,503,66
2016-09-10,21,43,49,83,24,36,569,526,23
2016-09-11,5,41,43,134,17,44,663,521,29
2016-09-12,18,67,54,162,21,45,829,570,52
2016-09-13,20,57,52,125,20,47,809,541,45
2016-09-14,19,78,47,145,18,40,776,521,39
2016-09-15,18,404,54,112,15,37,876,496,49
2016-09-16,10,50,45,153,9,52,683,496,18
2016-09-17,10,44,33,132,13,51,574,512,25
2016-09-18,25,52,60,122,21,44,691,570,35
2016-09-19,12,49,40,113,21,39,782,551,37
2016-09-20,8,56,45,128,15,36,752,546,33
2016-09-21,10,47,48,112,15,34,721,522,48
2016-09-22,13,170,288,226,26,252,1015,849,252
2016-09-23,209,57,60,83,156,31,714,572,37
2016-09-24,17,52,31,88,17,41,647,568,38
2016-09-25,12,48,36,113,13,36,726,523,36
2016-09-26,16,66,46,94,18,47,797,575,37
2016-09-27,10,49,35,69,14,41,689,500,57
2016-09-28,45,52,73,77,20,40,755,508,69
2016-09-29,55,53,42,79,19,41,834,594,52
2016-09-30,53,41,30,75,14,41,624,505,34
2016-10-01,31,42,47,98,15,28,648,529,77
2016-10-02,43,37,43,116,23,39,623,533,49
2016-10-03,48,62,47,86,18,36,809,619,74
2016-10-04,17,48,37,248,17,31,706,536,52
2016-10-05,12,52,46,101,19,36,770,504,40
2016-10-06,11,53,38,74,24,48,735,507,37
2016-10-07,23,51,44,98,17,36,665,558,38
2016-10-08,14,61,42,124,18,55,535,440,39
2016-10-09,15,36,52,129,15,36,621,486,35
2016-10-10,23,63,37,92,28,35,722,496,66
2016-10-11,13,54,32,65,22,37,698,540,55
2016-10-12,7,46,28,115,19,42,758,565,80
2016-10-13,11,42,38,106,13,50,788,574,40
2016-10-14,13,39,65,75,17,41,683,557,21
2016-10-15,17,41,54,73,172,47,637,473,38
2016-10-16,22,66,44,91,21,44,741,507,45
2016-10-17,15,50,59,102,17,35,983,596,58
2016-10-18,22,66,55,132,23,54,861,556,97
2016-10-19,18,48,64,66,21,27,841,629,61
2016-10-20,37,70,45,92,14,37,794,540,65
2016-10-21,12,69,43,113,22,31,777,559,39
2016-10-22,13,41,49,88,9,38,532,448,32
2016-10-23,15,49,47,129,14,31,795,518,40
2016-10-24,10,48,41,74,18,36,886,570,51
2016-10-25,17,56,51,105,21,47,914,569,54
2016-10-26,14,45,54,76,24,27,971,478,74
2016-10-27,8,56,51,101,17,30,838,576,45
2016-10-28,56,64,63,92,25,44,798,551,51
2016-10-29,20,40,30,91,17,33,566,550,37
2016-10-30,30,38,43,103,17,30,662,508,60
2016-10-31,16,59,57,89,28,34,887,557,57
2016-11-01,18,41,52,90,19,24,828,578,53
2016-11-02,11,56,50,84,23,34,996,509,46
2016-11-03,10,41,46,89,17,25,914,486,38
2016-11-04,9,39,42,443,19,32,866,500,41
2016-11-05,8,33,33,400,7,25,658,531,26
2016-11-06,13,54,50,173,12,27,1238,557,36
2016-11-07,13,49,45,138,20,40,1195,567,83
2016-11-08,24,48,59,80,25,45,1002,525,50
2016-11-09,16,33,37,57,24,20,815,368,43
2016-11-10,16,43,34,92,21,33,953,487,28
2016-11-11,12,49,45,67,31,34,1314,558,34
2016-11-12,7,47,35,73,19,30,1850,548,16
2016-11-13,10,58,45,140,17,31,977,507,35
2016-11-14,12,52,51,108,23,46,1064,577,27
2016-11-15,21,54,54,132,17,36,1274,522,40
2016-11-16,13,58,55,141,22,29,1556,575,55
2016-11-17,11,41,53,98,29,31,1475,573,53
2016-11-18,11,64,48,123,21,33,1296,552,26
2016-11-19,16,42,45,127,14,35,825,514,29
2016-11-20,14,31,36,145,12,38,992,531,36
2016-11-21,11,59,47,211,20,26,1179,620,47
2016-11-22,14,48,41,88,18,28,1031,665,39
2016-11-23,16,46,53,47,15,41,930,597,21
2016-11-24,10,45,45,50,21,34,866,598,22
2016-11-25,17,43,47,63,19,38,724,609,17
2016-11-26,14,53,39,89,15,41,817,626,29
2016-11-27,14,51,58,62,23,49,851,626,41
2016-11-28,17,58,58,59,13,32,1536,642,45
2016-11-29,15,51,62,109,33,43,1240,711,37
2016-11-30,9,55,72,80,11,32,997,604,25
2016-12-01,12,44,38,69,21,29,1187,571,40
2016-12-02,14,43,47,50,19,36,1021,549,49
2016-12-03,39,42,41,65,12,33,777,577,34
2016-12-04,31,53,51,67,28,45,1287,613,53
2016-12-05,20,87,62,73,19,48,1503,618,49
2016-12-06,12,55,44,53,49,37,1502,762,41
2016-12-07,12,66,45,64,17,38,2573,561,32
2016-12-08,16,50,59,65,17,39,3010,522,50
2016-12-09,26,48,45,63,24,43,1775,617,40
2016-12-10,22,54,26,41,26,41,1275,505,27
2016-12-11,12,49,42,52,14,24,1262,613,36
2016-12-12,23,52,58,70,19,32,1596,598,36
2016-12-13,9,45,48,32,10,34,1399,611,43
2016-12-14,11,56,40,157,21,25,1301,649,49
2016-12-15,13,54,36,221,18,39,1219,647,43
