Date,"Léal Souvenir","Zero Escape: Virtue's Last Reward","Newton's parakeet","Southern Cross (wordless novel)","Brougham Castle","Turboliner","Djedkare Isesi","James Russell Lowell","Ontario Highway 402"
2016-03-01,17,566,22,7,30,29,37,278,64
2016-03-02,16,473,20,9,26,52,50,250,67
2016-03-03,18,404,13,7,29,45,29,223,39
2016-03-04,9,392,19,9,29,61,41,225,39
2016-03-05,30,421,25,16,28,49,52,163,24
2016-03-06,29,410,30,13,32,53,50,157,31
2016-03-07,19,382,15,12,28,68,81,197,41
2016-03-08,12,1226,22,9,39,75,24,171,32
2016-03-09,25,1209,21,10,26,55,28,201,42
2016-03-10,15,774,16,8,44,46,36,207,32
2016-03-11,18,552,13,10,32,47,41,166,30
2016-03-12,20,468,22,15,32,62,34,169,45
2016-03-13,13,473,17,8,39,45,42,134,42
2016-03-14,29,765,23,8,37,69,42,201,45
2016-03-15,17,558,27,17,23,40,44,178,46
2016-03-16,22,461,25,9,33,46,36,189,50
2016-03-17,25,2056,16,10,41,40,42,152,25
2016-03-18,11,817,21,10,32,22,47,173,41
2016-03-19,12,573,15,8,30,37,42,96,28
2016-03-20,7,666,17,4,24,49,97,125,33
2016-03-21,18,622,25,12,32,52,70,163,45
2016-03-22,20,499,22,9,26,67,133,173,33
2016-03-23,17,481,25,8,26,51,73,188,24
2016-03-24,12,470,20,8,25,37,116,178,32
2016-03-25,15,467,20,4,28,63,158,117,41
2016-03-26,12,483,21,17,32,42,37,136,35
2016-03-27,15,536,28,8,34,49,122,263,33
2016-03-28,20,500,23,11,39,69,70,372,42
2016-03-29,19,446,10,7,33,132,81,211,43
2016-03-30,18,445,23,11,29,91,76,177,42
2016-03-31,18,396,20,19,36,54,85,190,47
2016-04-01,26,388,25,15,27,41,34,139,37
2016-04-02,18,339,29,14,34,41,92,100,31
2016-04-03,26,444,32,15,27,59,189,171,38
2016-04-04,21,395,34,15,50,64,100,244,62
2016-04-05,21,360,29,18,31,41,84,194,55
2016-04-06,13,401,19,15,51,45,52,177,31
2016-04-07,14,561,28,6,38,43,68,169,39
2016-04-08,13,609,51,6,42,45,82,179,59
2016-04-09,21,666,28,14,47,45,127,168,37
2016-04-10,21,623,29,16,46,37,86,186,46
2016-04-11,17,550,17,9,46,33,69,188,46
2016-04-12,22,411,19,12,29,51,95,189,48
2016-04-13,13,470,27,14,32,33,139,172,42
