Date,"Cliff Clinkscales","Johnson Creek (Willamette River)","The Good Terrorist","USS Constellation vs L'Insurgente","Olympic marmot","Kedok Ketawa","Bobby Peel","Marvel Science Stories","Epsilon Eridani"
2016-05-20,7,12,37,26,55,7,11,8,177
2016-05-21,4,30,47,40,64,13,24,18,161
2016-05-22,11,12,40,22,58,3,6,13,162
2016-05-23,10,22,31,31,67,13,18,15,288
2016-05-24,8,14,51,27,57,11,14,13,207
2016-05-25,5,23,39,32,67,11,17,15,222
2016-05-26,7,21,48,29,83,13,14,20,169
2016-05-27,5,13,39,28,50,7,11,14,206
2016-05-28,8,22,28,36,56,6,16,21,123
2016-05-29,4,14,40,26,55,9,8,14,183
2016-05-30,2,28,34,37,79,14,22,22,169
2016-05-31,3,28,54,38,85,8,13,15,192
2016-06-01,7,11,38,24,66,8,12,9,195
2016-06-02,9,22,60,38,59,14,19,18,192
2016-06-03,13,14,46,49,56,9,15,13,181
2016-06-04,11,17,27,19,51,8,13,16,189
2016-06-05,3,29,50,28,59,10,22,13,164
2016-06-06,7,28,182,21,61,6,15,13,162
2016-06-07,6,29,98,23,72,8,20,11,180
2016-06-08,119,13,122,39,75,3,10,12,185
2016-06-09,9,18,113,28,72,6,12,7,167
2016-06-10,11,11,103,29,44,4,10,6,154
2016-06-11,7,15,106,19,50,5,11,8,307
2016-06-12,14,15,108,21,62,4,16,10,222
2016-06-13,20,23,129,33,61,17,20,22,168
2016-06-14,60,20,122,35,64,14,15,19,155
2016-06-15,24,19,132,43,62,13,13,16,154
2016-06-16,11,23,128,35,60,13,17,14,171
2016-06-17,9,20,118,29,66,7,18,15,175
2016-06-18,10,22,110,32,112,13,14,15,137
2016-06-19,8,25,122,24,80,13,14,18,160
2016-06-20,24,11,103,22,69,9,12,14,164
2016-06-21,9,22,145,33,73,11,12,14,202
2016-06-22,11,16,109,23,47,3,6,11,160
2016-06-23,8,11,115,20,65,4,20,10,143
2016-06-24,11,10,100,27,57,8,7,12,146
2016-06-25,5,10,101,18,56,8,10,15,155
2016-06-26,5,12,99,21,69,5,11,11,144
2016-06-27,4,21,124,26,76,12,11,17,177
2016-06-28,6,9,117,12,62,5,10,14,163
2016-06-29,8,20,142,28,80,10,17,15,162
2016-06-30,4,11,114,26,59,9,15,7,144
2016-07-01,14,20,109,17,57,6,9,7,149
2016-07-02,2,16,115,23,64,6,10,12,136
2016-07-03,4,20,93,23,70,7,11,12,166
2016-07-04,4,24,114,29,68,14,15,13,177
2016-07-05,8,8,109,27,55,4,11,16,263
2016-07-06,5,11,99,183,72,13,16,11,191
2016-07-07,8,14,97,325,65,5,11,12,182
2016-07-08,8,18,100,23,58,5,18,17,316
2016-07-09,6,17,92,19,91,11,13,11,169
2016-07-10,11,13,37,19,66,9,10,10,235
2016-07-11,9,26,47,21,75,10,20,17,195
2016-07-12,10,15,50,27,76,12,16,17,218
2016-07-13,11,14,39,15,63,11,8,10,145
2016-07-14,10,20,43,25,61,6,10,11,253
2016-07-15,11,14,59,31,77,8,13,9,117
2016-07-16,6,16,31,24,67,3,7,7,121
2016-07-17,8,21,55,24,77,12,15,13,189
2016-07-18,12,17,36,27,55,8,16,12,144
2016-07-19,1,19,40,17,54,13,11,14,201
2016-07-20,11,17,33,16,53,5,11,8,174
2016-07-21,6,14,40,19,43,9,7,11,161
2016-07-22,6,14,47,27,59,7,14,17,190
2016-07-23,10,11,36,21,60,6,11,15,157
2016-07-24,7,15,43,29,65,9,22,11,148
2016-07-25,10,18,50,32,77,9,18,16,180
2016-07-26,7,20,51,28,81,14,16,16,222
2016-07-27,7,18,61,21,71,6,8,9,167
2016-07-28,6,14,37,34,53,8,11,9,212
2016-07-29,4,37,37,40,49,15,20,21,181
2016-07-30,11,14,33,23,66,8,12,13,161
2016-07-31,4,17,61,40,79,10,12,13,158
2016-08-01,7,17,38,40,73,6,10,14,168
2016-08-02,6,16,46,34,69,12,16,13,201
2016-08-03,8,28,49,28,69,11,53,15,340
2016-08-04,6,15,46,39,50,5,10,6,189
2016-08-05,2,24,44,40,52,11,27,11,195
2016-08-06,4,11,42,20,71,11,15,12,152
2016-08-07,4,12,39,22,64,8,7,14,153
2016-08-08,7,8,42,18,58,5,8,14,178
2016-08-09,6,21,57,32,54,8,15,9,168
2016-08-10,8,11,40,26,63,6,14,11,186
2016-08-11,8,13,54,27,66,9,7,8,203
2016-08-12,6,13,26,28,52,7,29,12,172
2016-08-13,5,18,48,19,63,3,11,14,176
2016-08-14,6,13,49,51,92,8,14,12,256
2016-08-15,8,19,44,17,73,7,16,10,183
2016-08-16,15,16,58,27,61,6,13,13,235
2016-08-17,11,9,59,24,65,5,7,12,164
2016-08-18,4,12,47,30,62,14,21,16,177
2016-08-19,8,11,43,23,40,7,8,12,173
2016-08-20,4,26,43,15,56,9,14,13,198
2016-08-21,5,18,385,23,89,14,26,18,171
2016-08-22,15,17,494,20,68,10,17,11,178
2016-08-23,8,17,689,21,98,10,26,16,226
2016-08-24,13,16,797,20,105,8,14,12,376
2016-08-25,4,10,700,30,71,9,13,15,519
2016-08-26,9,25,674,36,64,11,11,12,343
2016-08-27,4,21,865,25,63,10,17,10,241
2016-08-28,5,20,203,15,79,9,13,12,278
2016-08-29,6,19,122,35,87,12,24,18,300
2016-08-30,7,23,99,22,78,9,15,19,311
2016-08-31,4,32,102,25,51,6,10,13,247
2016-09-01,8,23,73,35,62,11,19,15,192
2016-09-02,5,16,92,35,62,12,29,20,191
2016-09-03,3,17,63,27,39,7,10,16,187
2016-09-04,7,15,71,27,55,5,8,3,165
2016-09-05,2,24,75,27,83,12,16,12,210
2016-09-06,5,17,58,26,80,10,11,13,174
2016-09-07,4,11,57,34,81,4,8,10,197
2016-09-08,6,19,55,28,59,7,10,16,208
2016-09-09,6,22,65,29,47,10,15,21,213
2016-09-10,2,21,51,29,51,7,11,17,154
2016-09-11,3,16,45,23,44,5,5,13,146
2016-09-12,4,20,65,26,60,12,13,21,160
2016-09-13,4,26,60,46,64,14,15,19,199
2016-09-14,4,15,42,30,66,8,9,16,172
2016-09-15,8,16,62,28,51,6,13,16,193
2016-09-16,2,14,46,23,70,9,13,18,162
2016-09-17,78,12,54,18,61,9,8,10,129
2016-09-18,131,27,71,28,74,11,14,14,144
2016-09-19,4,6,51,31,91,8,12,19,186
2016-09-20,3,17,43,32,60,6,8,11,176
2016-09-21,9,16,50,25,49,10,11,7,140
2016-09-22,13,218,274,22,236,90,12,33,306
2016-09-23,50,11,46,118,49,11,422,10,478
2016-09-24,34,15,53,24,58,15,15,14,138
2016-09-25,104,24,46,21,54,13,5,7,122
2016-09-26,37,17,66,40,57,11,15,15,187
2016-09-27,24,9,51,24,59,5,13,8,151
2016-09-28,17,20,46,36,70,11,12,23,178
2016-09-29,30,19,56,32,54,12,17,10,179
2016-09-30,20,20,108,18,63,8,14,7,141
2016-10-01,56,17,59,19,48,7,8,15,117
2016-10-02,72,14,42,31,51,10,23,9,129
2016-10-03,35,14,62,22,52,11,16,17,149
2016-10-04,43,7,54,31,56,7,14,7,154
2016-10-05,42,14,57,38,46,4,8,13,164
2016-10-06,32,18,57,27,56,6,12,15,126
2016-10-07,76,23,62,45,39,10,11,17,154
2016-10-08,23,15,42,30,47,12,14,14,156
2016-10-09,35,17,51,26,46,8,17,9,280
2016-10-10,106,22,66,48,67,11,19,11,168
2016-10-11,34,11,71,43,41,6,14,13,195
2016-10-12,72,17,67,43,51,10,16,11,191
2016-10-13,26,21,157,39,40,5,13,13,186
2016-10-14,9,36,132,20,33,7,11,13,144
2016-10-15,56,25,82,28,49,10,12,15,123
2016-10-16,51,20,65,30,69,7,10,9,129
2016-10-17,36,16,126,22,54,8,15,15,181
2016-10-18,33,29,67,33,63,13,14,16,190
2016-10-19,98,17,79,31,74,8,13,9,167
2016-10-20,7947,22,56,43,63,10,16,10,213
2016-10-21,128,17,58,28,55,10,9,13,164
2016-10-22,22,15,608,30,48,7,5,11,144
2016-10-23,19,48,221,22,45,3,19,10,129
2016-10-24,17,22,77,27,48,8,10,12,199
2016-10-25,38,28,59,38,59,10,19,18,169
2016-10-26,24,23,69,30,57,11,11,11,170
2016-10-27,39,24,58,40,51,6,8,12,141
2016-10-28,34,25,48,18,54,14,21,20,173
2016-10-29,17,12,55,23,38,6,8,11,146
2016-10-30,12,17,45,18,64,9,11,18,139
2016-10-31,16,14,31,25,53,7,23,11,170
2016-11-01,17,43,59,32,55,10,15,12,163
2016-11-02,11,198,46,30,57,15,10,9,156
2016-11-03,8,18,43,20,50,8,13,15,211
2016-11-04,11,16,42,30,42,10,36,11,178
2016-11-05,8,20,29,28,40,7,7,10,109
2016-11-06,6,13,39,29,49,6,5,19,146
2016-11-07,13,13,47,42,53,8,13,16,195
