Date,"Brazilian battleship São Paulo","Death of Leelah Alcorn","Qatna","William Borah","Birthday-number effect"
2016-09-05,34,251,15,166,0
2016-09-06,44,252,19,117,0
2016-09-07,44,264,26,95,0
2016-09-08,51,309,9,103,0
2016-09-09,47,277,18,167,0
2016-09-10,36,275,16,164,0
2016-09-11,22,291,19,156,0
2016-09-12,28,306,36,119,0
2016-09-13,54,263,26,94,0
2016-09-14,61,318,18,179,0
2016-09-15,48,277,23,194,0
2016-09-16,47,290,30,209,0
2016-09-17,38,283,21,174,0
2016-09-18,30,343,26,170,0
2016-09-19,35,399,37,188,0
2016-09-20,34,329,37,182,0
2016-09-21,45,305,24,162,0
2016-09-22,31,285,25,488,0
2016-09-23,253,293,26,183,0
2016-09-24,49,254,16,125,0
2016-09-25,38,288,10,260,0
2016-09-26,39,301,27,278,0
2016-09-27,47,331,20,219,0
2016-09-28,60,282,36,217,0
2016-09-29,56,244,19,213,0
2016-09-30,33,282,17,151,0
2016-10-01,41,242,24,179,0
2016-10-02,41,462,22,214,0
2016-10-03,50,581,29,225,0
2016-10-04,43,287,34,219,0
2016-10-05,37,367,28,226,0
2016-10-06,31,385,19,298,0
2016-10-07,35,402,12,238,0
2016-10-08,36,304,22,202,0
2016-10-09,46,299,26,179,0
2016-10-10,44,290,19,240,0
2016-10-11,51,405,68,200,0
2016-10-12,49,436,26,191,0
2016-10-13,47,327,21,197,0
2016-10-14,36,275,27,209,0
2016-10-15,34,382,20,175,0
2016-10-16,38,990,19,120,0
2016-10-17,47,1330,23,166,0
2016-10-18,41,676,47,147,0
2016-10-19,43,547,52,131,0
2016-10-20,1718,690,28,129,0
2016-10-21,1866,500,25,145,0
2016-10-22,125,401,24,208,0
2016-10-23,84,387,27,197,0
2016-10-24,190,360,28,176,0
2016-10-25,142,335,19,173,0
2016-10-26,87,380,25,128,0
2016-10-27,59,316,21,149,0
2016-10-28,51,363,30,117,0
2016-10-29,41,305,17,101,0
2016-10-30,50,327,32,137,0
2016-10-31,52,430,23,145,0
2016-11-01,69,295,27,157,0
2016-11-02,47,338,39,142,0
2016-11-03,45,310,24,109,0
2016-11-04,45,333,27,147,0
2016-11-05,38,273,29,108,0
2016-11-06,48,324,32,137,0
