Date,"Apatosaurus","Edward III of England","William Henry Bury","Wood Siding railway station","Here We Go Again (Ray Charles song)","Brabham","Vampire","Zenobia","U.S. Route 113"
2016-08-01,665,2262,19,11,30,348,3166,427,25
2016-08-02,656,2103,26,14,33,260,3380,384,39
2016-08-03,1085,2120,23,15,49,238,3066,306,26
2016-08-04,608,2361,26,6,46,198,2811,384,17
2016-08-05,647,2574,23,16,48,215,2971,307,29
2016-08-06,768,2101,23,16,48,165,2974,289,55
2016-08-07,874,2190,23,9,40,176,3351,308,35
2016-08-08,640,1994,21,10,51,160,3008,292,40
2016-08-09,630,1852,25,9,38,180,2965,345,21
2016-08-10,608,1952,16,9,40,141,3050,312,28
2016-08-11,616,1886,27,8,62,156,3045,294,27
2016-08-12,685,1685,18,7,45,181,3043,1049,33
2016-08-13,584,1758,18,3,43,171,2988,372,37
2016-08-14,770,2358,23,13,52,151,3378,459,35
2016-08-15,711,2235,32,11,53,133,3122,421,38
2016-08-16,611,2198,31,10,27,171,3053,404,30
2016-08-17,624,2155,24,8,50,180,2877,428,23
2016-08-18,637,2002,33,12,47,169,3072,403,32
2016-08-19,554,1999,27,8,42,134,2832,439,39
2016-08-20,606,1982,32,16,56,224,3010,404,39
2016-08-21,745,2209,42,14,62,142,3306,403,38
2016-08-22,674,2432,32,13,59,191,2968,362,36
2016-08-23,643,2238,29,14,49,186,3049,449,39
2016-08-24,621,2058,37,11,50,162,3293,389,70
2016-08-25,618,2033,30,11,45,159,3353,403,29
2016-08-26,674,2228,27,6,54,165,3322,384,32
2016-08-27,701,2097,33,16,46,186,3189,365,42
2016-08-28,834,2506,30,11,49,244,3550,384,34
2016-08-29,1210,2442,36,16,47,184,3503,384,35
2016-08-30,835,2945,24,8,51,206,3161,393,31
2016-08-31,830,2478,51,15,43,233,3003,424,31
2016-09-01,682,2551,47,17,39,231,2950,397,27
2016-09-02,598,2114,34,14,64,290,2925,431,33
2016-09-03,664,2172,37,10,49,284,2961,370,38
2016-09-04,632,2098,58,86,47,355,3425,371,19
2016-09-05,755,2317,47,27,46,284,3381,362,42
2016-09-06,634,2180,25,21,47,601,3067,437,30
2016-09-07,597,2361,20,11,32,334,2984,406,17
2016-09-08,616,2467,40,14,34,312,3223,393,27
2016-09-09,641,2058,34,14,43,234,3221,424,31
2016-09-10,732,2143,23,12,51,189,3041,383,26
2016-09-11,734,2566,20,5,41,217,3334,385,21
2016-09-12,773,2284,32,14,58,222,3364,423,29
2016-09-13,628,2204,35,17,43,261,3443,431,30
2016-09-14,614,2029,32,10,52,215,3381,1177,26
2016-09-15,578,2016,33,11,38,174,3092,650,24
2016-09-16,624,1971,23,11,38,189,3191,497,21
2016-09-17,611,2512,16,8,54,196,3186,755,18
2016-09-18,841,2439,32,13,45,240,3486,661,21
2016-09-19,651,2616,34,9,45,248,3566,546,31
2016-09-20,571,2206,33,11,40,200,3454,524,18
2016-09-21,603,2261,21,7,33,203,3296,549,17
2016-09-22,847,2279,236,13,375,260,3306,423,21
2016-09-23,581,2283,19,136,40,332,3326,411,342
2016-09-24,584,1914,20,9,38,172,3064,362,32
2016-09-25,675,2246,21,8,39,159,3355,415,29
2016-09-26,599,2190,29,12,49,173,3249,481,23
2016-09-27,585,2162,13,6,37,161,3148,429,15
2016-09-28,576,2416,26,20,53,199,3156,453,28
2016-09-29,579,2045,30,11,57,185,3076,671,27
2016-09-30,620,2676,28,9,41,184,3025,453,36
2016-10-01,600,1857,30,8,32,184,3123,359,30
2016-10-02,628,2217,22,15,50,217,3394,450,28
2016-10-03,632,3035,21,10,45,183,3618,501,25
2016-10-04,652,2411,35,5,37,188,3649,430,26
2016-10-05,612,2002,28,7,46,213,3697,471,18
2016-10-06,601,2158,43,13,48,186,3500,441,21
2016-10-07,572,1830,36,11,49,179,3532,308,25
2016-10-08,555,1886,32,12,66,199,3477,360,32
2016-10-09,683,2305,20,12,54,246,4027,403,28
2016-10-10,631,2264,25,14,67,197,3684,449,26
2016-10-11,568,3101,29,10,49,165,3943,382,26
2016-10-12,665,2134,35,9,37,180,3880,409,23
2016-10-13,596,2144,27,7,41,198,3731,436,21
2016-10-14,498,3172,27,12,50,195,3708,404,26
2016-10-15,609,2080,29,14,51,139,3880,366,45
2016-10-16,700,2197,26,12,54,171,4127,458,24
2016-10-17,613,2133,34,11,64,176,4323,406,22
2016-10-18,671,2090,34,17,54,172,4315,412,19
2016-10-19,646,2373,35,14,38,217,4323,418,28
2016-10-20,601,2034,24,12,26,216,4102,416,25
2016-10-21,612,1796,19,8,30,200,4075,398,30
2016-10-22,670,1731,17,12,42,206,3990,403,13
2016-10-23,675,2040,18,9,44,262,4510,526,20
2016-10-24,642,2032,35,14,42,191,4997,529,21
2016-10-25,567,2157,28,16,46,212,5367,434,25
2016-10-26,544,1928,28,16,36,194,5123,438,24
2016-10-27,630,1887,21,11,33,168,5129,434,16
2016-10-28,539,1927,34,18,53,195,5189,396,25
2016-10-29,551,1687,37,13,41,224,5436,400,28
2016-10-30,648,2460,23,12,47,296,6252,429,27
2016-10-31,603,1963,37,11,48,265,8228,496,24
2016-11-01,559,2240,48,11,40,263,5922,403,20
2016-11-02,633,2240,44,11,41,244,4307,393,21
2016-11-03,634,2151,45,10,27,221,3967,381,31
2016-11-04,622,2191,42,10,41,220,3583,391,23
2016-11-05,637,1969,25,10,40,187,3753,417,11
2016-11-06,692,2521,40,7,40,176,4248,409,17
2016-11-07,576,3041,57,10,39,175,4406,476,19
2016-11-08,597,2139,58,14,57,186,3681,436,28
2016-11-09,530,1549,34,12,55,126,2904,394,16
2016-11-10,597,1907,32,15,47,207,3029,427,38
2016-11-11,612,1804,30,7,42,152,3306,445,26
2016-11-12,724,1872,22,8,38,247,3356,447,8
