Date,"Donnchadh, Earl of Carrick","Kona Lanes","SMS Kaiser Barbarossa","Carnotaurus","Shakespeare authorship question","The Shape of Things to Come (Lost)","George Calvert, 1st Baron Baltimore","Heffernan v. City of Paterson","The Greencards"
2016-04-01,30,13,15,466,608,44,168,0,42
2016-04-02,32,4,27,462,426,46,123,0,17
2016-04-03,28,7,17,492,549,50,113,0,19
2016-04-04,26,5,13,489,826,41,129,0,40
2016-04-05,25,9,15,443,968,35,162,0,20
2016-04-06,21,7,19,547,797,34,158,0,28
2016-04-07,14,8,9,523,1051,39,178,0,23
2016-04-08,13,3,12,478,679,33,127,0,22
2016-04-09,29,3,18,504,562,38,109,0,34
2016-04-10,26,12,13,540,759,39,140,0,41
2016-04-11,14,7,14,481,953,43,121,0,37
2016-04-12,20,9,29,435,879,45,151,0,43
2016-04-13,18,11,21,459,861,67,368,0,33
2016-04-14,20,10,16,495,778,51,207,0,36
2016-04-15,20,6,14,485,648,47,233,0,33
2016-04-16,22,5,9,400,482,34,141,0,23
2016-04-17,21,9,16,450,655,41,145,0,29
2016-04-18,20,5,7,473,975,46,207,0,36
2016-04-19,26,6,20,439,1008,55,170,0,26
2016-04-20,19,7,10,468,1208,29,203,0,31
2016-04-21,21,7,9,464,1095,37,230,0,33
2016-04-22,21,5,19,487,1578,49,180,0,33
2016-04-23,13,8,17,452,6285,42,125,0,29
2016-04-24,19,7,12,527,3137,47,149,0,27
2016-04-25,12,5,7,567,2634,45,143,0,20
2016-04-26,13,6,13,533,1733,35,171,55,34
2016-04-27,18,13,13,525,1338,45,156,113,25
2016-04-28,32,5,8,497,1326,41,137,80,17
2016-04-29,21,8,7,410,1012,23,132,137,23
2016-04-30,24,4,12,433,765,42,127,96,23
2016-05-01,35,9,8,465,887,56,135,41,27
2016-05-02,23,5,25,468,1111,41,161,65,25
2016-05-03,16,7,18,491,1165,50,148,93,30
2016-05-04,21,6,14,523,855,40,176,94,33
2016-05-05,18,5,13,492,789,37,163,1917,21
2016-05-06,37,5,16,436,776,35,127,70,29
2016-05-07,27,8,19,461,637,28,112,54,28
2016-05-08,14,9,29,468,758,32,125,26,25
2016-05-09,15,19,13,532,793,33,181,40,38
2016-05-10,19,8,17,534,770,45,187,45,26
2016-05-11,18,9,12,416,932,43,174,95,43
2016-05-12,29,3,8,483,971,29,146,43,24
2016-05-13,23,16,10,462,803,45,119,83,33
2016-05-14,17,7,13,432,618,55,109,40,31
2016-05-15,15,9,11,445,690,43,118,44,27
2016-05-16,8,7,14,539,857,42,167,56,29
2016-05-17,17,8,14,472,854,39,176,46,33
2016-05-18,16,22,9,475,753,30,133,26,20
2016-05-19,19,7,16,471,748,45,162,41,32
2016-05-20,27,9,15,381,854,52,131,23,31
2016-05-21,23,5,11,466,650,43,128,27,25
2016-05-22,16,12,11,473,805,46,117,14,34
2016-05-23,16,6,20,546,929,67,129,71,33
2016-05-24,21,5,15,453,846,41,172,39,21
2016-05-25,20,3,14,449,716,52,152,39,32
2016-05-26,17,5,15,442,679,67,170,25,26
2016-05-27,17,9,10,465,510,36,117,30,27
2016-05-28,16,19,14,450,574,41,95,26,39
2016-05-29,18,7,9,481,659,32,96,60,29
2016-05-30,28,11,20,492,766,53,123,76,34
2016-05-31,14,8,11,505,722,66,127,51,30
2016-06-01,21,14,19,497,578,64,155,29,31
2016-06-02,23,11,19,553,654,66,122,31,34
2016-06-03,20,8,13,530,501,32,138,50,24
2016-06-04,30,12,18,610,523,43,133,20,32
2016-06-05,12,4,12,670,596,55,130,13,30
2016-06-06,13,6,12,616,675,39,167,17,28
2016-06-07,15,7,17,620,652,54,179,30,23
2016-06-08,11,8,9,624,707,42,132,41,20
2016-06-09,9,7,13,568,556,31,153,18,23
2016-06-10,9,10,11,461,698,32,135,24,16
2016-06-11,12,4,8,546,449,47,119,23,26
2016-06-12,28,4,15,490,540,36,120,17,24
2016-06-13,31,8,15,454,539,33,151,30,33
2016-06-14,16,5,24,564,583,47,123,61,33
2016-06-15,18,5,13,483,580,61,142,37,18
2016-06-16,20,13,23,484,590,52,115,25,30
2016-06-17,22,11,14,490,522,39,118,20,24
2016-06-18,31,9,17,455,480,44,196,41,21
2016-06-19,19,12,18,506,405,63,156,29,44
2016-06-20,20,7,11,444,565,40,151,50,27
2016-06-21,29,9,12,461,502,46,162,36,33
2016-06-22,21,9,11,441,478,29,121,19,20
2016-06-23,12,11,7,446,449,48,119,27,20
2016-06-24,23,9,13,408,387,46,101,36,18
2016-06-25,14,6,12,417,360,50,106,20,140
2016-06-26,12,18,13,522,382,42,131,14,24
2016-06-27,27,15,14,459,468,38,103,30,28
2016-06-28,14,4,12,478,410,47,106,26,18
2016-06-29,26,9,13,462,465,57,142,45,30
2016-06-30,18,8,15,470,531,42,150,17,41
2016-07-01,27,9,16,382,415,33,111,18,18
2016-07-02,23,2,12,404,424,49,112,24,21
2016-07-03,22,6,7,486,514,43,153,17,20
2016-07-04,30,7,15,457,592,48,209,26,21
2016-07-05,13,4,13,467,447,46,175,36,23
2016-07-06,20,9,28,519,439,58,128,14,21
2016-07-07,27,7,19,503,545,43,133,23,16
2016-07-08,10,11,17,458,451,45,78,18,20
2016-07-09,10,7,12,481,497,42,115,8,21
2016-07-10,19,5,13,427,483,34,100,15,23
2016-07-11,31,16,18,454,466,50,124,22,19
2016-07-12,24,15,17,476,505,45,127,21,26
2016-07-13,21,14,19,432,432,39,103,24,13
2016-07-14,28,10,9,762,418,33,119,27,26
2016-07-15,26,7,8,467,465,41,103,23,32
2016-07-16,11,15,7,450,334,35,120,12,23
2016-07-17,14,6,12,599,430,53,111,19,32
2016-07-18,12,11,10,522,502,51,111,24,23
2016-07-19,15,8,11,540,488,53,138,29,32
2016-07-20,20,6,12,526,443,47,90,18,22
2016-07-21,13,5,12,457,730,46,103,20,15
2016-07-22,15,5,11,478,435,46,93,19,29
2016-07-23,16,10,11,429,389,47,91,12,15
2016-07-24,17,7,9,547,487,51,116,26,16
2016-07-25,21,14,14,518,503,51,136,18,18
2016-07-26,24,9,15,465,426,58,149,27,19
2016-07-27,21,8,9,586,463,47,158,21,27
2016-07-28,22,7,10,472,591,52,114,13,15
2016-07-29,24,7,25,518,410,38,132,16,23
2016-07-30,19,8,17,538,357,29,140,23,22
2016-07-31,19,4,27,482,447,58,137,171,23
2016-08-01,23,14,13,517,435,46,160,15,23
2016-08-02,33,19,14,522,439,43,159,17,22
2016-08-03,21,7,12,392,419,42,144,28,30
2016-08-04,12,9,10,415,468,35,129,16,25
2016-08-05,25,9,13,455,396,55,145,17,26
2016-08-06,18,9,14,417,365,43,121,20,34
2016-08-07,19,8,14,437,395,40,120,57,22
2016-08-08,9,7,7,443,376,60,125,15,11
2016-08-09,21,14,14,419,471,43,142,87,20
2016-08-10,17,15,17,412,440,41,153,39,21
2016-08-11,12,7,12,370,400,33,146,18,21
2016-08-12,21,6,16,329,382,38,152,42,22
2016-08-13,13,17,5,387,345,44,166,131,15
2016-08-14,17,7,12,450,393,53,161,98,24
2016-08-15,12,11,15,392,524,54,179,95,24
2016-08-16,19,11,12,360,418,42,192,96,13
2016-08-17,12,5,8,371,359,48,190,93,17
2016-08-18,20,5,15,425,382,50,197,106,25
2016-08-19,12,11,10,457,370,42,255,125,18
2016-08-20,36,11,18,451,385,32,134,156,29
2016-08-21,36,10,29,462,418,53,209,106,31
2016-08-22,13,14,16,429,476,60,279,140,25
2016-08-23,18,14,19,351,548,45,285,127,37
2016-08-24,25,8,20,372,443,42,317,129,27
2016-08-25,25,15,15,428,427,51,281,122,26
2016-08-26,32,10,14,414,417,51,296,86,25
2016-08-27,17,12,17,506,474,49,201,107,36
2016-08-28,16,9,18,563,496,59,288,120,15
2016-08-29,26,7,16,398,510,48,388,120,24
2016-08-30,15,8,14,425,518,60,446,153,29
2016-08-31,15,6,11,401,523,60,343,143,20
2016-09-01,21,6,14,341,519,44,352,152,28
2016-09-02,22,7,334,335,733,45,362,124,35
2016-09-03,24,8,172,389,451,38,182,101,24
2016-09-04,13,3,26,448,463,39,221,92,38
2016-09-05,19,11,18,392,606,69,328,86,35
2016-09-06,19,10,15,365,609,53,470,98,39
2016-09-07,19,5,8,396,563,35,479,43,12
2016-09-08,17,7,14,375,517,38,514,41,26
2016-09-09,17,4,24,420,485,43,475,33,20
2016-09-10,13,12,14,366,372,32,224,29,23
2016-09-11,10,4,6,434,384,25,342,28,13
2016-09-12,23,8,15,447,445,46,474,53,30
2016-09-13,21,15,14,369,568,46,513,54,27
2016-09-14,16,6,19,424,567,38,538,42,38
2016-09-15,11,4,13,446,451,46,522,44,22
2016-09-16,11,3,13,363,409,41,389,47,29
2016-09-17,22,8,14,343,368,29,207,36,18
2016-09-18,23,13,18,437,450,56,320,30,35
2016-09-19,20,10,21,401,520,33,501,58,24
2016-09-20,20,8,13,353,538,29,485,45,30
2016-09-21,13,5,13,339,466,36,492,34,19
2016-09-22,105,2,17,661,1163,196,612,151,197
2016-09-23,230,12,97,356,458,36,567,38,35
2016-09-24,15,7,15,389,377,32,165,22,23
2016-09-25,11,4,11,356,392,38,293,19,18
2016-09-26,12,7,19,487,525,65,367,63,28
2016-09-27,18,8,16,359,482,31,412,37,33
2016-09-28,20,24,19,405,511,32,448,53,51
2016-09-29,20,8,23,385,527,39,381,50,19
2016-09-30,24,10,16,338,377,42,313,36,23
2016-10-01,16,11,10,414,336,41,194,16,15
2016-10-02,24,7,21,364,389,40,256,34,24
