Date,"Interstate 96","Sea mink","1966 New York City smog","Black vulture","New Worlds (magazine)","38th (Welsh) Infantry Division","Battle of Winterthur","X-Cops (The X-Files)","Josephine Butler"
2016-07-27,88,188,0,233,23,18,0,97,59
2016-07-28,89,184,0,241,17,46,0,205,62
2016-07-29,141,178,0,268,33,38,0,274,49
2016-07-30,103,191,0,259,27,163,1,123,39
2016-07-31,103,231,0,308,31,101,0,111,70
2016-08-01,104,206,0,261,21,42,1,116,54
2016-08-02,98,220,0,264,23,36,1,142,57
2016-08-03,98,201,0,219,27,39,0,121,48
2016-08-04,97,230,0,214,24,48,1,87,33
2016-08-05,117,167,0,226,25,15,0,113,41
2016-08-06,116,185,0,223,29,25,0,125,54
2016-08-07,119,199,0,262,19,22,0,116,45
2016-08-08,81,186,0,245,30,25,1,116,45
2016-08-09,152,172,0,275,22,31,2,126,169
2016-08-10,253,154,0,242,14,25,1,123,153
2016-08-11,99,156,0,286,25,31,0,109,52
2016-08-12,89,170,0,265,28,25,0,118,46
2016-08-13,73,163,0,220,21,21,0,97,61
2016-08-14,100,224,0,278,24,17,0,117,126
2016-08-15,91,228,0,257,23,22,1,99,71
2016-08-16,112,152,0,222,23,22,0,125,69
2016-08-17,120,169,0,274,17,21,0,97,162
2016-08-18,92,169,0,215,44,24,1,123,73
2016-08-19,107,233,0,257,31,57,0,109,58
2016-08-20,107,192,0,229,21,30,0,126,62
2016-08-21,104,226,0,325,42,25,0,141,175
2016-08-22,100,217,0,301,22,46,0,126,126
2016-08-23,81,206,0,248,36,29,0,145,77
2016-08-24,104,200,0,282,31,36,0,124,92
2016-08-25,116,218,0,264,38,95,0,117,5598
2016-08-26,110,188,0,265,20,53,1,120,141
2016-08-27,153,170,0,242,31,24,0,135,70
2016-08-28,119,186,0,287,28,20,4,125,212
2016-08-29,98,192,0,279,33,38,1,164,153
2016-08-30,103,190,0,251,35,31,0,130,145
2016-08-31,107,194,0,285,32,24,0,113,217
2016-09-01,95,225,0,263,36,28,0,119,83
2016-09-02,100,201,0,237,34,28,0,110,47
2016-09-03,93,148,0,354,25,15,1,87,72
2016-09-04,73,179,0,412,15,27,0,107,160
2016-09-05,87,239,0,334,29,17,0,141,100
2016-09-06,90,237,39,277,38,81,1,115,88
2016-09-07,78,232,86,249,16,23,1,119,83
2016-09-08,84,230,277,298,22,23,1,90,64
2016-09-09,76,165,26,260,35,44,1,129,74
2016-09-10,101,188,137,255,19,78,1,131,54
